model_version,protocol_version,config_id,seed,demand_stream_id,policy,demand,population,delay,gain,fixed_budget,requests_received,requests_dispatched,completion_rate,final_queue,mean_wait_minutes,p95_wait_minutes,distance_units,energy_points,charging_minutes,mean_utilization,peak_period_exposure,cumulative_exposure,population_weighted_burden,exposure_gini,total_budget_adjustment,budget_at_bound_share,budget_oscillations,route_switching,route_1_share,route_2_share,route_3_share
0.6,0.1,P0_D18_D,421,d18-s421,P0,18,dispersed,,,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,0,0,0,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P1_D18_D,421,d18-s421,P1,18,dispersed,,,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,33.59999999999999,1927.5000000000002,214.16666666666666,0.33361579478311,0,0,0,3.8285737266195126,0.2129783693843594,0.5806988352745425,0.20632279534109818
0.6,0.1,P2_D18_D_B28,421,d18-s421,P2,18,dispersed,,,28,602,601,0.9983388704318937,1,1.5391014975041597,11,7876,15752,3938,0.19700520833333332,27.99999999999999,1997.9,221.98888888888888,0.5180217005633689,0,0,0,2.3156148513758623,0.2795341098169717,0.7104825291181365,0.009983361064891847
0.6,0.1,P2_D18_D_B34,421,d18-s421,P2,18,dispersed,,,34,602,601,0.9983388704318937,1,1.4608985024958403,10,7768,15536,3884,0.19466145833333334,33.59999999999999,2016.5000000000002,224.05555555555554,0.5509987051271452,0,0,0,2.3068739980349884,0.23460898502495842,0.7603993344425957,0.004991680532445923
0.6,0.1,P2_D18_D_B40,421,d18-s421,P2,18,dispersed,,,40,602,601,0.9983388704318937,1,1.437603993344426,10,7732,15464,3866,0.1938802083333333,39.19999999999998,2022.6999999999996,224.7444444444444,0.5618562647286629,0,0,0,2.3493744125207874,0.21963394342762063,0.7770382695507487,0.0033277870216306157
0.6,0.1,P3-U_D18_D_L0_G0p15,421,d18-s421,P3-U,18,dispersed,0,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,259.0349999999998,0.4305555555555556,17,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_D_L0_G0p6,421,d18-s421,P3-U,18,dispersed,0,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,336.71999999999986,0.7731481481481481,17,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_D_L0_G1p5,421,d18-s421,P3-U,18,dispersed,0,1.5,,602,601,0.9983388704318937,1,1.5058236272878536,10,7780,15560,3890,0.19492187499999994,44.799999999999976,2016.3,224.0333333333333,0.5516925942457855,385.1999999999999,0.8472222222222222,14,2.601059775661259,0.23960066555740434,0.7587354409317804,0.0016638935108153079
0.6,0.1,P3-U_D18_D_L1_G0p15,421,d18-s421,P3-U,18,dispersed,1,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,257.3549999999998,0.4027777777777778,15,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_D_L1_G0p6,421,d18-s421,P3-U,18,dispersed,1,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,331.1999999999999,0.7453703703703703,15,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_D_L1_G1p5,421,d18-s421,P3-U,18,dispersed,1,1.5,,602,601,0.9983388704318937,1,1.4675540765391015,10,7756,15512,3878,0.19440104166666664,44.799999999999976,2019.8999999999999,224.4333333333333,0.5577063771033768,394.79999999999984,0.8148148148148148,10,2.52913570984725,0.22961730449251247,0.7687188019966722,0.0016638935108153079
0.6,0.1,P3-U_D18_D_L3_G0p15,421,d18-s421,P3-U,18,dispersed,3,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,252.41999999999982,0.3472222222222222,12,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_D_L3_G0p6,421,d18-s421,P3-U,18,dispersed,3,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,315.7199999999999,0.6759259259259259,12,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_D_L3_G1p5,421,d18-s421,P3-U,18,dispersed,3,1.5,,602,601,0.9983388704318937,1,1.4725457570715474,10,7768,15536,3884,0.19466145833333334,44.799999999999976,2018.1,224.2333333333333,0.5547021676053934,377.0999999999998,0.7407407407407407,11,2.511243203871253,0.23460898502495842,0.7637271214642263,0.0016638935108153079
0.6,0.1,P3-D_D18_D_L0_G0p15,421,d18-s421,P3-D,18,dispersed,0,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,43.39999999999998,2025.9,225.1,0.5676818533326748,219.25499999999988,0.20833333333333334,17,2.5722846292390535,0.2129783693843594,0.7853577371048253,0.0016638935108153079
0.6,0.1,P3-D_D18_D_L0_G0p6,421,d18-s421,P3-D,18,dispersed,0,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,291.8400000000001,0.6574074074074074,17,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-D_D18_D_L0_G1p5,421,d18-s421,P3-D,18,dispersed,0,1.5,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,353.3999999999999,0.7916666666666666,17,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-D_D18_D_L1_G0p15,421,d18-s421,P3-D,18,dispersed,1,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,43.39999999999998,2025.9,225.1,0.5676818533326748,218.41499999999985,0.18055555555555555,15,2.5722846292390535,0.2129783693843594,0.7853577371048253,0.0016638935108153079
0.6,0.1,P3-D_D18_D_L1_G0p6,421,d18-s421,P3-D,18,dispersed,1,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,289.0800000000001,0.6296296296296297,15,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-D_D18_D_L1_G1p5,421,d18-s421,P3-D,18,dispersed,1,1.5,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,346.49999999999994,0.7638888888888888,15,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-D_D18_D_L3_G0p15,421,d18-s421,P3-D,18,dispersed,3,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,43.39999999999998,2025.9,225.1,0.5676818533326748,215.94749999999988,0.125,12,2.5722846292390535,0.2129783693843594,0.7853577371048253,0.0016638935108153079
0.6,0.1,P3-D_D18_D_L3_G0p6,421,d18-s421,P3-D,18,dispersed,3,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,281.34000000000015,0.5601851851851852,12,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-D_D18_D_L3_G1p5,421,d18-s421,P3-D,18,dispersed,3,1.5,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,225.18888888888887,0.5695191416807834,327.15,0.6944444444444444,12,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P0_D18_C,421,d18-s421,P0,18,concentrated,,,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,421.1755555555555,0.5695191416807834,0,0,0,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P1_D18_C,421,d18-s421,P1,18,concentrated,,,,602,601,0.9983388704318937,1,2.262895174708819,13,9112,18224,4556,0.22382812500000004,32,1648.3000000000002,73.25777777777778,0.5344631168813658,0,0,0,2.539917835087363,0.2129783693843594,0,0.7870216306156406
0.6,0.1,P2_D18_C_B28,421,d18-s421,P2,18,concentrated,,,28,602,601,0.9983388704318937,1,1.5391014975041597,11,7876,15752,3938,0.19700520833333332,27.99999999999999,1997.9,387.69555555555553,0.5180217005633689,0,0,0,2.3156148513758623,0.2795341098169717,0.7104825291181365,0.009983361064891847
0.6,0.1,P2_D18_C_B34,421,d18-s421,P2,18,concentrated,,,34,602,601,0.9983388704318937,1,1.4608985024958403,10,7768,15536,3884,0.19466145833333334,33.59999999999999,2016.5000000000002,409.52222222222224,0.5509987051271452,0,0,0,2.3068739980349884,0.23460898502495842,0.7603993344425957,0.004991680532445923
0.6,0.1,P2_D18_C_B40,421,d18-s421,P2,18,concentrated,,,40,602,601,0.9983388704318937,1,1.437603993344426,10,7732,15464,3866,0.1938802083333333,39.19999999999998,2022.6999999999996,416.7977777777777,0.5618562647286629,0,0,0,2.3493744125207874,0.21963394342762063,0.7770382695507487,0.0033277870216306157
0.6,0.1,P3-U_D18_C_L0_G0p15,421,d18-s421,P3-U,18,concentrated,0,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,421.1755555555555,0.5695191416807834,259.0349999999998,0.4305555555555556,17,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_C_L0_G0p6,421,d18-s421,P3-U,18,concentrated,0,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,421.1755555555555,0.5695191416807834,336.71999999999986,0.7731481481481481,17,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_C_L0_G1p5,421,d18-s421,P3-U,18,concentrated,0,1.5,,602,601,0.9983388704318937,1,1.5058236272878536,10,7780,15560,3890,0.19492187499999994,44.799999999999976,2016.3,408.8133333333333,0.5516925942457855,385.1999999999999,0.8472222222222222,14,2.601059775661259,0.23960066555740434,0.7587354409317804,0.0016638935108153079
0.6,0.1,P3-U_D18_C_L1_G0p15,421,d18-s421,P3-U,18,concentrated,1,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,421.1755555555555,0.5695191416807834,257.3549999999998,0.4027777777777778,15,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_C_L1_G0p6,421,d18-s421,P3-U,18,concentrated,1,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,421.1755555555555,0.5695191416807834,331.1999999999999,0.7453703703703703,15,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_C_L1_G1p5,421,d18-s421,P3-U,18,concentrated,1,1.5,,602,601,0.9983388704318937,1,1.4675540765391015,10,7756,15512,3878,0.19440104166666664,44.799999999999976,2019.8999999999999,413.17333333333335,0.5577063771033768,394.79999999999984,0.8148148148148148,10,2.52913570984725,0.22961730449251247,0.7687188019966722,0.0016638935108153079
0.6,0.1,P3-U_D18_C_L3_G0p15,421,d18-s421,P3-U,18,concentrated,3,0.15,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,421.1755555555555,0.5695191416807834,252.41999999999982,0.3472222222222222,12,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_C_L3_G0p6,421,d18-s421,P3-U,18,concentrated,3,0.6,,602,601,0.9983388704318937,1,1.437603993344426,10,7716,15432,3858,0.1935329861111111,44.799999999999976,2026.6999999999998,421.1755555555555,0.5695191416807834,315.7199999999999,0.6759259259259259,12,2.5722846292390535,0.2129783693843594,0.7870216306156406,0
0.6,0.1,P3-U_D18_C_L3_G1p5,421,d18-s421,P3-U,18,concentrated,3,1.5,,602,601,0.9983388704318937,1,1.4725457570715474,10,7768,15536,3884,0.19466145833333334,44.799999999999976,2018.1,410.9933333333333,0.5547021676053934,377.0999999999998,0.7407407407407407,11,2.511243203871253,0.23460898502495842,0.7637271214642263,0.0016638935108153079
