config_id,policy,demand,population,delay,gain,fixed_budget,runs,requests_received_mean,requests_received_sd,requests_received_ci_low,requests_received_ci_high,requests_dispatched_mean,requests_dispatched_sd,requests_dispatched_ci_low,requests_dispatched_ci_high,completion_rate_mean,completion_rate_sd,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_sd,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_sd,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_sd,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,distance_units_mean,distance_units_sd,distance_units_ci_low,distance_units_ci_high,energy_points_mean,energy_points_sd,energy_points_ci_low,energy_points_ci_high,charging_minutes_mean,charging_minutes_sd,charging_minutes_ci_low,charging_minutes_ci_high,mean_utilization_mean,mean_utilization_sd,mean_utilization_ci_low,mean_utilization_ci_high,peak_period_exposure_mean,peak_period_exposure_sd,peak_period_exposure_ci_low,peak_period_exposure_ci_high,cumulative_exposure_mean,cumulative_exposure_sd,cumulative_exposure_ci_low,cumulative_exposure_ci_high,population_weighted_burden_mean,population_weighted_burden_sd,population_weighted_burden_ci_low,population_weighted_burden_ci_high,exposure_gini_mean,exposure_gini_sd,exposure_gini_ci_low,exposure_gini_ci_high,total_budget_adjustment_mean,total_budget_adjustment_sd,total_budget_adjustment_ci_low,total_budget_adjustment_ci_high,budget_at_bound_share_mean,budget_at_bound_share_sd,budget_at_bound_share_ci_low,budget_at_bound_share_ci_high,budget_oscillations_mean,budget_oscillations_sd,budget_oscillations_ci_low,budget_oscillations_ci_high,route_switching_mean,route_switching_sd,route_switching_ci_low,route_switching_ci_high,route_1_share_mean,route_1_share_sd,route_1_share_ci_low,route_1_share_ci_high,route_2_share_mean,route_2_share_sd,route_2_share_ci_low,route_2_share_ci_high,route_3_share_mean,route_3_share_sd,route_3_share_ci_low,route_3_share_ci_high
P0_D18_D,P0,18,dispersed,,,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.36929,0.210952,1.290528,1.448052,9.135,1.035836,8.748256,9.521744,7632.4,267.904461,7532.374063,7732.425937,15264.8,535.808921,15064.748125,15464.851875,3816.2,133.95223,3766.187031,3866.212969,0.191519,0.006717,0.189011,0.194027,44.1,4.171744,42.54242,45.65758,2015.7,70.474275,1989.387428,2042.012572,223.966667,7.830475,221.043048,226.890286,0.577015,0.01219,0.572463,0.581566,0,0,0,0,0,0,0,0,0,0,0,0,2.058695,0.385727,1.914678,2.202712,0.200327,0.020533,0.192661,0.207993,0.799673,0.020533,0.792007,0.807339,0,0,0,0
P1_D18_D,P1,18,dispersed,,,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.36929,0.210952,1.290528,1.448052,9.135,1.035836,8.748256,9.521744,7632.4,267.904461,7532.374063,7732.425937,15264.8,535.808921,15064.748125,15464.851875,3816.2,133.95223,3766.187031,3866.212969,0.191519,0.006717,0.189011,0.194027,35.933333,3.295277,34.702995,37.163672,1921.06,68.07058,1895.644882,1946.475118,213.451111,7.563398,210.627209,216.275013,0.354029,0.0195,0.346749,0.36131,0,0,0,0,0,0,0,0,0,0,0,0,3.519534,0.461508,3.347223,3.691844,0.200327,0.020533,0.192661,0.207993,0.601261,0.020757,0.593511,0.609011,0.198412,0.01306,0.193536,0.203288
P2_D18_D_B28,P2,18,dispersed,,,28,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.515325,0.256644,1.419504,1.611147,9.865,1.296757,9.380838,10.349162,7807.333333,297.971687,7696.08137,7918.585297,15614.666667,595.943375,15392.162739,15837.170594,3903.666667,148.985844,3848.040685,3959.292648,0.195315,0.00737,0.192564,0.198067,28,0,28,28,1978.26,64.770479,1954.077021,2002.442979,219.806667,7.19672,217.119669,222.493664,0.506555,0.015244,0.500863,0.512247,0,0,0,0,0,0,0,0,0,0,0,0,2.728038,0.389562,2.582589,2.873486,0.273309,0.021778,0.265178,0.281441,0.703272,0.022697,0.694798,0.711747,0.023418,0.00618,0.021111,0.025726
P2_D18_D_B34,P2,18,dispersed,,,34,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.424181,0.228913,1.338714,1.509649,9.37,1.102083,8.958522,9.781478,7700.133333,284.324697,7593.976667,7806.289999,15400.266667,568.649394,15187.953335,15612.579998,3850.066667,142.162349,3796.988334,3903.145,0.192989,0.007073,0.190348,0.19563,33.6,0,33.6,33.6,2001.486667,67.600539,1976.247045,2026.726289,222.387407,7.511171,219.583005,225.19181,0.550743,0.013889,0.545557,0.555928,0,0,0,0,0,0,0,0,0,0,0,0,2.261594,0.330925,2.138038,2.385149,0.22852,0.021516,0.220487,0.236553,0.763007,0.021954,0.75481,0.771203,0.008473,0.004574,0.006766,0.010181
P2_D18_D_B40,P2,18,dispersed,,,40,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.379487,0.209558,1.301246,1.457728,9.196667,1.044603,8.806649,9.586684,7649.733333,272.884835,7547.847902,7751.618764,15299.466667,545.769671,15095.695805,15503.237529,3824.866667,136.442418,3773.923951,3875.809382,0.191895,0.006826,0.189347,0.194444,39.013333,0.484044,38.832609,39.194058,2011.953333,69.486658,1986.009502,2037.897165,223.55037,7.72074,220.667722,226.433018,0.570092,0.011274,0.565883,0.574301,0,0,0,0,0,0,0,0,0,0,0,0,2.068636,0.347973,1.938715,2.198556,0.207529,0.019762,0.20015,0.214907,0.790076,0.019175,0.782916,0.797235,0.002396,0.002475,0.001472,0.00332
P3-U_D18_D_L0_G0p15,P3-U,18,dispersed,0,0.15,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.372768,0.210981,1.293995,1.45154,9.136667,1.033986,8.750613,9.52272,7637.2,271.238081,7535.929408,7738.470592,15274.4,542.476162,15071.858816,15476.941184,3818.6,135.61904,3767.964704,3869.235296,0.191623,0.00679,0.189088,0.194158,42.933333,2.971744,41.82379,44.042876,2014.553333,69.522994,1988.595936,2040.510731,223.839259,7.724777,220.955104,226.723415,0.574896,0.011081,0.570759,0.579033,261.0895,7.032476,258.463825,263.715175,0.43858,0.008505,0.435405,0.441756,16.466667,3.71143,15.080952,17.852382,2.067514,0.391472,1.921352,2.213675,0.202289,0.019408,0.195043,0.209536,0.796839,0.018939,0.789768,0.80391,0.000871,0.001482,0.000318,0.001425
P3-U_D18_D_L0_G0p6,P3-U,18,dispersed,0,0.6,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.385827,0.222392,1.302794,1.468861,9.236667,1.064873,8.839081,9.634252,7652.4,280.691953,7547.599671,7757.200329,15304.8,561.383906,15095.199341,15514.400659,3826.2,140.345976,3773.799835,3878.600165,0.191953,0.006996,0.189341,0.194565,43.493333,4.026373,41.99003,44.996637,2011.233333,67.285646,1986.111281,2036.355385,223.47037,7.476183,220.679031,226.261709,0.568823,0.012155,0.564285,0.573361,341.552,16.87578,335.251188,347.852812,0.769907,0.019191,0.762742,0.777073,15.933333,3.694668,14.553876,17.31279,2.162416,0.375222,2.022322,2.30251,0.208531,0.01857,0.201598,0.215465,0.788469,0.019224,0.781291,0.795646,0.003,0.003954,0.001524,0.004476
P3-U_D18_D_L0_G1p5,P3-U,18,dispersed,0,1.5,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.438191,0.238348,1.349201,1.527182,9.4,1.036157,9.013136,9.786864,7718,295.693224,7607.598733,7828.401267,15436,591.386448,15215.197466,15656.802534,3859,147.846612,3803.799366,3914.200634,0.193377,0.00732,0.190644,0.19611,41.72,3.62847,40.365259,43.074741,1997.233333,64.70883,1973.073372,2021.393294,221.914815,7.18987,219.230375,224.599255,0.542698,0.016483,0.536544,0.548853,393.455,30.506004,382.06515,404.84485,0.854938,0.012056,0.850437,0.85944,14.466667,2.991175,13.349869,15.583464,2.508553,0.389859,2.362994,2.654113,0.235852,0.021406,0.22786,0.243845,0.752455,0.023905,0.74353,0.76138,0.011693,0.006852,0.009135,0.014251
P3-U_D18_D_L1_G0p15,P3-U,18,dispersed,1,0.15,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.371633,0.211053,1.292834,1.450433,9.136667,1.033986,8.750613,9.52272,7636.533333,270.945183,7535.372099,7737.694567,15273.066667,541.890365,15070.744199,15475.389135,3818.266667,135.472591,3767.68605,3868.847284,0.191609,0.006784,0.189076,0.194142,43.213333,3.262296,41.995309,44.431358,2014.813333,69.813845,1988.747342,2040.879324,223.868148,7.757094,220.971927,226.764369,0.575411,0.010936,0.571328,0.579494,259.0175,6.931565,256.429502,261.605498,0.409568,0.007369,0.406817,0.412319,15.6,3.672827,14.228698,16.971302,2.057361,0.403271,1.906795,2.207928,0.202014,0.019586,0.194701,0.209327,0.797433,0.018899,0.790377,0.804489,0.000553,0.001415,0.000025,0.001081
P3-U_D18_D_L1_G0p6,P3-U,18,dispersed,1,0.6,,30,596.966667,20.950654,589.144442,604.788891,596.4,20.878301,588.60479,604.19521,0.999054,0.000939,0.998704,0.999405,0.566667,0.568321,0.354476,0.778857,1.385318,0.22192,1.302461,1.468175,9.236667,1.064873,8.839081,9.634252,7651.6,280.355636,7546.925239,7756.274761,15303.2,560.711272,15093.850479,15512.549521,3825.8,140.177818,3773.46262,3878.13738,0.191936,0.006988,0.189327,0.194545,43.68,3.966619,42.199006,45.160994,2011.326667,67.416917,1986.155603,2036.49773,223.480741,7.490769,220.683956,226.277526,0.568953,0.012277,0.564369,0.573536,340.4,19.396089,333.158194,347.641806,0.73287,0.021342,0.724902,0.740839,15.166667,3.806377,13.745502,16.587832,2.171799,0.343565,2.043524,2.300074,0.208202,0.018575,0.201267,0.215137,0.788738,0.019282,0.781539,0.795937,0.00306,0.004303,0.001453,0.004667
