config_id,policy,variant,demand,population,destination_pattern,fleet_size,charger_capacity,exposure_scale,delay,gain,fixed_budget,runs,requests_received_mean,requests_received_sd,requests_received_ci_low,requests_received_ci_high,requests_dispatched_mean,requests_dispatched_sd,requests_dispatched_ci_low,requests_dispatched_ci_high,completion_rate_mean,completion_rate_sd,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_sd,final_queue_ci_low,final_queue_ci_high,peak_queue_mean,peak_queue_sd,peak_queue_ci_low,peak_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_sd,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_sd,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,mean_charge_wait_minutes_mean,mean_charge_wait_minutes_sd,mean_charge_wait_minutes_ci_low,mean_charge_wait_minutes_ci_high,peak_charger_queue_mean,peak_charger_queue_sd,peak_charger_queue_ci_low,peak_charger_queue_ci_high,mean_utilization_mean,mean_utilization_sd,mean_utilization_ci_low,mean_utilization_ci_high,peak_period_exposure_mean,peak_period_exposure_sd,peak_period_exposure_ci_low,peak_period_exposure_ci_high,cumulative_exposure_mean,cumulative_exposure_sd,cumulative_exposure_ci_low,cumulative_exposure_ci_high,population_weighted_burden_mean,population_weighted_burden_sd,population_weighted_burden_ci_low,population_weighted_burden_ci_high,exposure_gini_mean,exposure_gini_sd,exposure_gini_ci_low,exposure_gini_ci_high,budget_at_bound_share_mean,budget_at_bound_share_sd,budget_at_bound_share_ci_low,budget_at_bound_share_ci_high
D45_centered_P0_F2_C1_E0p75,P0,P0,45,concentrated,centered,2,1,0.75,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1425.4,17.173757,1418.987934,1431.812066,0.947221,0.022805,0.938707,0.955736,80.3,36.257841,66.76262,93.83738,84.9,34.273092,72.103654,97.696346,186.712127,80.381509,156.700548,216.723705,494.436667,205.099362,417.859905,571.013428,0.440337,0.01591,0.434397,0.446278,1,0,1,1,0.457749,0.005732,0.455609,0.459889,62.965,1.959202,62.233504,63.696496,3614.22,43.535504,3597.965401,3630.474599,760.2695,11.892979,755.829087,764.709913,0.578016,0.00641,0.575623,0.580409,0,0,0,0
D45_centered_P1_F2_C1_E0p75,P1,P1,45,concentrated,centered,2,1,0.75,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1425.4,17.173757,1418.987934,1431.812066,0.947221,0.022805,0.938707,0.955736,80.3,36.257841,66.76262,93.83738,84.9,34.273092,72.103654,97.696346,186.712127,80.381509,156.700548,216.723705,494.436667,205.099362,417.859905,571.013428,0.440337,0.01591,0.434397,0.446278,1,0,1,1,0.457749,0.005732,0.455609,0.459889,50.12,2.204799,49.296807,50.943193,3442.92,40.596731,3427.762634,3458.077366,602.768667,10.911478,598.694711,606.842622,0.352752,0.012367,0.348135,0.35737,0,0,0,0
D45_centered_P2-B34_F2_C1_E0p75,P2,P2-B34,45,concentrated,centered,2,1,0.75,0,0,34,30,1505.7,41.635653,1490.154737,1521.245263,1367.666667,17.621173,1361.087551,1374.245782,0.908906,0.024319,0.899826,0.917986,138.033333,39.797317,123.17444,152.892227,139.4,39.702862,124.576372,154.223628,311.748804,90.120203,278.101146,345.396463,824.911667,225.217547,740.823495,908.999838,0.434837,0.019874,0.427417,0.442257,1,0,1,1,0.460981,0.006437,0.458578,0.463384,33.6,0,33.6,33.6,3304.745,39.337472,3290.057796,3319.432204,546.507556,3.77627,545.097632,547.91748,0.393277,0.006111,0.390995,0.395558,0,0,0,0
D45_centered_P3-D_F2_C1_E0p75,P3-D,P3-D,45,concentrated,centered,2,1,0.75,1,0.6,,30,1505.7,41.635653,1490.154737,1521.245263,1353.166667,17.942597,1346.467543,1359.86579,0.899262,0.023951,0.89032,0.908205,152.533333,39.58207,137.754805,167.311861,153.733333,39.524705,138.976223,168.490444,343.685702,89.005321,310.454301,376.917104,913.198333,225.000288,829.191279,997.205388,0.430513,0.015613,0.424684,0.436342,1,0,1,1,0.461168,0.006585,0.458709,0.463626,38.885,1.336242,38.386095,39.383905,3232.5725,38.494979,3218.199853,3246.945147,498.884889,1.739209,498.235531,499.534247,0.34839,0.006785,0.345857,0.350924,0.541667,0.007689,0.538796,0.544538
D45_centered_P0_F2_C1_E1,P0,P0,45,concentrated,centered,2,1,1,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1425.4,17.173757,1418.987934,1431.812066,0.947221,0.022805,0.938707,0.955736,80.3,36.257841,66.76262,93.83738,84.9,34.273092,72.103654,97.696346,186.712127,80.381509,156.700548,216.723705,494.436667,205.099362,417.859905,571.013428,0.440337,0.01591,0.434397,0.446278,1,0,1,1,0.457749,0.005732,0.455609,0.459889,83.953333,2.61227,82.978005,84.928661,4818.96,58.047339,4797.287201,4840.632799,1013.692667,15.857305,1007.772116,1019.613217,0.578016,0.00641,0.575623,0.580409,0,0,0,0
D45_centered_P1_F2_C1_E1,P1,P1,45,concentrated,centered,2,1,1,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1276.966667,18.035374,1270.232904,1283.70043,0.848617,0.022722,0.840133,0.8571,228.733333,39.637089,213.934263,243.532404,229.566667,39.629041,214.770601,244.362732,524.565101,85.501303,492.641974,556.488227,1391.57,212.449014,1312.249142,1470.890858,0.450399,0.023422,0.441654,0.459144,1,0,1,1,0.476633,0.006566,0.474182,0.479085,51.266667,1.552158,50.687146,51.846187,3498.783333,50.128498,3480.067146,3517.49952,155.501481,2.227933,154.669651,156.333312,0.543704,0.007601,0.540866,0.546542,0,0,0,0
D45_centered_P2-B34_F2_C1_E1,P2,P2-B34,45,concentrated,centered,2,1,1,0,0,34,30,1505.7,41.635653,1490.154737,1521.245263,1343.7,18.655035,1336.734877,1350.665123,0.89297,0.02403,0.883999,0.901942,162,39.925793,147.093138,176.906862,163.033333,39.941754,148.120512,177.946155,366.106485,88.603758,333.025013,399.187957,972.735,225.257858,888.631778,1056.838222,0.432258,0.018222,0.425454,0.439061,1,0,1,1,0.464776,0.006693,0.462277,0.467275,33.6,0,33.6,33.6,4211.543333,53.416688,4191.599454,4231.487213,590.21637,2.614118,589.240352,591.192389,0.286674,0.004715,0.284913,0.288434,0,0,0,0
D45_centered_P3-D_F2_C1_E1,P3-D,P3-D,45,concentrated,centered,2,1,1,1,0.6,,30,1505.7,41.635653,1490.154737,1521.245263,1331.7,16.848514,1325.409368,1337.990632,0.88501,0.023831,0.876112,0.893907,174,39.953421,159.082822,188.917178,174.733333,40.033549,159.786239,189.680428,389.826983,88.188909,356.900401,422.753566,1043.5,222.997386,960.240757,1126.759243,0.437568,0.019455,0.430304,0.444832,1,0,1,1,0.464874,0.006422,0.462476,0.467272,40.293333,0.924357,39.948211,40.638455,4130.263333,45.701622,4113.199983,4147.326683,538.490593,2.062967,537.720354,539.260831,0.263351,0.009489,0.259808,0.266893,0.353395,0.014956,0.347811,0.358979
D45_centered_P0_F2_C1_E1p25,P0,P0,45,concentrated,centered,2,1,1.25,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1425.4,17.173757,1418.987934,1431.812066,0.947221,0.022805,0.938707,0.955736,80.3,36.257841,66.76262,93.83738,84.9,34.273092,72.103654,97.696346,186.712127,80.381509,156.700548,216.723705,494.436667,205.099362,417.859905,571.013428,0.440337,0.01591,0.434397,0.446278,1,0,1,1,0.457749,0.005732,0.455609,0.459889,104.941667,3.265337,103.722507,106.160827,6023.7,72.559173,5996.609002,6050.790998,1267.115833,19.821632,1259.715146,1274.516521,0.578016,0.00641,0.575623,0.580409,0,0,0,0
D45_centered_P1_F2_C1_E1p25,P1,P1,45,concentrated,centered,2,1,1.25,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1276.966667,18.035374,1270.232904,1283.70043,0.848617,0.022722,0.840133,0.8571,228.733333,39.637089,213.934263,243.532404,229.566667,39.629041,214.770601,244.362732,524.565101,85.501303,492.641974,556.488227,1391.57,212.449014,1312.249142,1470.890858,0.450399,0.023422,0.441654,0.459144,1,0,1,1,0.476633,0.006566,0.474182,0.479085,64.083333,1.940198,63.358933,64.807734,4373.479167,62.660622,4350.083933,4396.8744,194.376852,2.784917,193.337064,195.41664,0.543704,0.007601,0.540866,0.546542,0,0,0,0
