model_version,protocol_version,config_id,module,seed,demand_stream_id,policy,variant,demand,population,fleet_size,charger_capacity,exposure_scale,damping,tie_break,delay,gain,fixed_budget,requests_received,requests_dispatched,completion_rate,final_queue,peak_queue,mean_wait_minutes,p95_wait_minutes,mean_charge_wait_minutes,peak_charger_queue,distance_units,energy_points,mean_utilization,peak_period_exposure,cumulative_exposure,population_weighted_burden,exposure_gini,budget_at_bound_share,budget_oscillations
0.7,0.1,fleet_capacity_D45_P0_F2_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P0,P0,45,concentrated,2,unlimited,1,0.5,low,0,0,,1515,1453,0.9590759075907591,62,64,123.73709566414315,298.39999999999986,0,0,18602,37204,0.4667534722222222,91.00000000000007,4912.700000000001,1033.8422222222225,0.5783151604797545,0,0
0.7,0.1,fleet_capacity_D45_P1_F2_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P1,P1,45,concentrated,2,unlimited,1,0.5,low,0,0,,1515,1288,0.8501650165016502,227,228,510.50388198757764,1272,0,0,19578,39156,0.48077256944444446,54,3528.799999999999,156.8355555555555,0.5442454469885891,0,0
0.7,0.1,fleet_capacity_D45_P2-B28_F2_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P2,P2-B28,45,concentrated,2,unlimited,1,0.5,low,0,0,28,1515,1338,0.8831683168316832,177,179,390.144245142003,1014,0,0,19044,38088,0.47135416666666674,27.99999999999999,4107,518.5333333333333,0.17761545329112893,0,0
0.7,0.1,fleet_capacity_D45_P2-B34_F2_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P2,P2-B34,45,concentrated,2,unlimited,1,0.5,low,0,0,34,1515,1358,0.8963696369636963,157,158,347.2901325478645,897.1499999999999,0,0,18946,37892,0.47009548611111107,33.59999999999999,4249.2,592.0533333333335,0.2749589465206521,0,0
0.7,0.1,fleet_capacity_D45_P2-B40_F2_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P2,P2-B40,45,concentrated,2,unlimited,1,0.5,low,0,0,40,1515,1372,0.9056105610561056,143,145,310.04446064139944,809.45,0,0,18820,37640,0.46796875,39.19999999999998,4359,664.1333333333333,0.33605057225153545,0,0
0.7,0.1,fleet_capacity_D45_P3-U_F2_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P3-U,P3-U,45,concentrated,2,unlimited,1,0.5,low,1,0.6,,1515,1343,0.8864686468646865,172,173,373.08711839166045,977.3999999999992,0,0,19010,38020,0.47083333333333327,41.800000000000026,4144.700000000001,530.0088888888889,0.22805564268155076,0.5138888888888888,16
0.7,0.1,fleet_capacity_D45_P3-D_F2_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P3-D,P3-D,45,concentrated,2,unlimited,1,0.5,low,1,0.6,,1515,1343,0.8864686468646865,172,173,370.84586746090844,977.3999999999992,0,0,18946,37892,0.4694444444444445,42.90000000000003,4160.7,539.82,0.2563404128044693,0.3425925925925926,10
0.7,0.1,fleet_capacity_D45_P0_F4_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P0,P0,45,concentrated,4,unlimited,1,0.5,low,0,0,,1515,1515,1,0,6,0.8726072607260726,7,0,0,19400,38800,0.24338107638888895,100.80000000000011,5125.500000000002,1081.8000000000004,0.5803878212423721,0,0
0.7,0.1,fleet_capacity_D45_P1_F4_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P1,P1,45,concentrated,4,unlimited,1,0.5,low,0,0,,1515,1515,1,0,6,1.5841584158415842,10,0,0,23020,46040,0.2826605902777778,72,4149.499999999998,184.42222222222216,0.547027084923217,0,0
0.7,0.1,fleet_capacity_D45_P2-B28_F4_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P2,P2-B28,45,concentrated,4,unlimited,1,0.5,low,0,0,28,1515,1484,0.9795379537953796,31,31,10.993261455525607,68,0,0,21374,42748,0.2641276041666667,28,4500.6,536.0266666666666,0.10407501222059312,0,0
0.7,0.1,fleet_capacity_D45_P2-B34_F4_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P2,P2-B34,45,concentrated,4,unlimited,1,0.5,low,0,0,34,1515,1515,1,0,6,1.2844884488448844,9,0,0,21492,42984,0.2660807291666667,33.59999999999999,4673.3,610.9022222222223,0.19157055328497363,0,0
0.7,0.1,fleet_capacity_D45_P2-B40_F4_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P2,P2-B40,45,concentrated,4,unlimited,1,0.5,low,0,0,40,1515,1515,1,0,6,1.1795379537953796,8,0,0,21092,42184,0.2617404513888889,39.60000000000002,4757.900000000001,681.1622222222221,0.28248690482028693,0,0
0.7,0.1,fleet_capacity_D45_P3-U_F4_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P3-U,P3-U,45,concentrated,4,unlimited,1,0.5,low,1,0.6,,1515,1515,1,0,6,1.3557755775577558,9,0,0,21744,43488,0.2688151041666667,56.100000000000044,4609.300000000001,550.6577777777778,0.14017553882609302,0.4398148148148148,36
0.7,0.1,fleet_capacity_D45_P3-D_F4_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P3-D,P3-D,45,concentrated,4,unlimited,1,0.5,low,1,0.6,,1515,1515,1,0,6,1.343894389438944,9,0,0,21676,43352,0.26807725694444445,56.100000000000044,4625.300000000001,560.4688888888888,0.16598082526779034,0.2777777777777778,24
0.7,0.1,fleet_capacity_D45_P0_F6_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P0,P0,45,concentrated,6,unlimited,1,0.5,low,0,0,,1515,1515,1,0,4,0.12013201320132014,0,0,0,19400,38800,0.16225405092592593,100.80000000000011,5125.500000000002,1081.8000000000004,0.5803878212423721,0,0
0.7,0.1,fleet_capacity_D45_P1_F6_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P1,P1,45,concentrated,6,unlimited,1,0.5,low,0,0,,1515,1515,1,0,4,0.21386138613861386,1,0,0,23020,46040,0.18844039351851852,72,4149.499999999998,184.42222222222216,0.547027084923217,0,0
0.7,0.1,fleet_capacity_D45_P2-B28_F6_CU_E1_M0p5_Tlow,fleet_capacity,421,d45-s421,P2,P2-B28,45,concentrated,6,unlimited,1,0.5,low,0,0,28,1515,1484,0.9795379537953796,31,31,6.63544474393531,51.84999999999991,0,0,21378,42756,0.17611400462962964,28,4500.6,536.0266666666666,0.10407501222059312,0,0
