config_id,module,policy,variant,demand,population,fleet_size,charger_capacity,exposure_scale,damping,tie_break,delay,gain,fixed_budget,runs,requests_received_mean,requests_received_sd,requests_received_ci_low,requests_received_ci_high,requests_dispatched_mean,requests_dispatched_sd,requests_dispatched_ci_low,requests_dispatched_ci_high,completion_rate_mean,completion_rate_sd,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_sd,final_queue_ci_low,final_queue_ci_high,peak_queue_mean,peak_queue_sd,peak_queue_ci_low,peak_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_sd,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_sd,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,mean_charge_wait_minutes_mean,mean_charge_wait_minutes_sd,mean_charge_wait_minutes_ci_low,mean_charge_wait_minutes_ci_high,peak_charger_queue_mean,peak_charger_queue_sd,peak_charger_queue_ci_low,peak_charger_queue_ci_high,distance_units_mean,distance_units_sd,distance_units_ci_low,distance_units_ci_high,energy_points_mean,energy_points_sd,energy_points_ci_low,energy_points_ci_high,mean_utilization_mean,mean_utilization_sd,mean_utilization_ci_low,mean_utilization_ci_high,peak_period_exposure_mean,peak_period_exposure_sd,peak_period_exposure_ci_low,peak_period_exposure_ci_high,cumulative_exposure_mean,cumulative_exposure_sd,cumulative_exposure_ci_low,cumulative_exposure_ci_high,population_weighted_burden_mean,population_weighted_burden_sd,population_weighted_burden_ci_low,population_weighted_burden_ci_high,exposure_gini_mean,exposure_gini_sd,exposure_gini_ci_low,exposure_gini_ci_high,budget_at_bound_share_mean,budget_at_bound_share_sd,budget_at_bound_share_ci_low,budget_at_bound_share_ci_high,budget_oscillations_mean,budget_oscillations_sd,budget_oscillations_ci_low,budget_oscillations_ci_high
fleet_capacity_D45_P0_F2_CU_E1_M0p5_Tlow,fleet_capacity,P0,P0,45,concentrated,2,unlimited,1,0.5,low,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1448.366667,19.66878,1441.023048,1455.710285,0.962409,0.020606,0.954715,0.970103,57.333333,32.500752,45.198716,69.467951,64.8,29.042656,53.956512,75.643488,136.338056,70.014361,110.197199,162.478912,368.445,178.40388,301.835376,435.054624,0,0,0,0,0,0,0,0,18534.666667,262.224086,18436.761578,18632.571755,37069.333333,524.448172,36873.523156,37265.143511,0.465091,0.006537,0.46265,0.467532,86.146667,3.092118,84.99218,87.301153,4896.863333,67.040531,4871.832799,4921.893868,1030.33837,18.000354,1023.617682,1037.059058,0.578188,0.006521,0.575753,0.580622,0,0,0,0,0,0,0,0
fleet_capacity_D45_P1_F2_CU_E1_M0p5_Tlow,fleet_capacity,P1,P1,45,concentrated,2,unlimited,1,0.5,low,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1297.066667,18.816598,1290.041222,1304.092111,0.861974,0.023248,0.853294,0.870654,208.633333,39.876952,193.744707,223.52196,209.566667,39.729849,194.732963,224.40037,477.528565,89.055147,444.278561,510.77857,1268.976667,217.419018,1187.800187,1350.153147,0,0,0,0,0,0,0,0,19715.333333,275.640612,19612.418994,19818.247673,39430.666667,551.281225,39224.837988,39636.495346,0.484146,0.006794,0.48161,0.486683,52.133333,1.613164,51.531036,52.735631,3553.8,52.471674,3534.208955,3573.391045,157.946667,2.332074,157.075954,158.81738,0.54386,0.007669,0.540997,0.546723,0,0,0,0,0,0,0,0
fleet_capacity_D45_P2-B28_F2_CU_E1_M0p5_Tlow,fleet_capacity,P2,P2-B28,45,concentrated,2,unlimited,1,0.5,low,0,0,28,30,1505.7,41.635653,1490.154737,1521.245263,1346.266667,18.364008,1339.410203,1353.12313,0.894672,0.023798,0.885787,0.903557,159.433333,39.536699,144.671745,174.194922,160.533333,39.521913,145.777265,175.289401,358.391355,89.641247,324.922522,391.860189,954.573333,223.963418,870.953409,1038.193258,0,0,0,0,0,0,0,0,19181.466667,268.792925,19081.109008,19281.824325,38362.933333,537.585851,38162.218017,38563.64865,0.474696,0.006624,0.472223,0.477169,28,0,28,28,4130.833333,51.562719,4111.581659,4150.085007,519.592593,2.291676,518.736963,520.448223,0.178173,0.004878,0.176352,0.179994,0,0,0,0,0,0,0,0
fleet_capacity_D45_P2-B34_F2_CU_E1_M0p5_Tlow,fleet_capacity,P2,P2-B34,45,concentrated,2,unlimited,1,0.5,low,0,0,34,30,1505.7,41.635653,1490.154737,1521.245263,1364.533333,18.418007,1357.656709,1371.409958,0.906819,0.024364,0.897723,0.915915,141.166667,39.937955,126.255264,156.07807,142.466667,39.788001,127.611251,157.322082,318.491541,90.767917,284.602049,352.381032,841.55,225.968099,757.181599,925.918401,0,0,0,0,0,0,0,0,19053.466667,272.2843,18951.805454,19155.127879,38106.933333,544.568601,37903.610908,38310.255759,0.472711,0.0067,0.47021,0.475213,33.6,0,33.6,33.6,4268.38,52.671751,4248.714253,4288.045747,592.719111,2.603578,591.747028,593.691194,0.276094,0.004651,0.274358,0.27783,0,0,0,0,0,0,0,0
fleet_capacity_D45_P2-B40_F2_CU_E1_M0p5_Tlow,fleet_capacity,P2,P2-B40,45,concentrated,2,unlimited,1,0.5,low,0,0,40,30,1505.7,41.635653,1490.154737,1521.245263,1378.166667,17.788185,1371.525195,1384.808138,0.915881,0.0244,0.90677,0.924991,127.533333,39.668222,112.722639,142.344028,129.166667,39.448861,114.437874,143.89546,287.478054,90.35738,253.741842,321.214265,763.156667,225.309981,679.033983,847.27935,0,0,0,0,0,0,0,0,18937.733333,267.582657,18837.827546,19037.639121,37875.466667,535.165313,37675.655092,38075.278241,0.470791,0.006571,0.468338,0.473245,39.213333,0.07303,39.186067,39.2406,4377.37,51.694095,4358.069275,4396.670725,663.969778,3.325782,662.72805,665.211506,0.336899,0.006277,0.334555,0.339243,0,0,0,0,0,0,0,0
fleet_capacity_D45_P3-U_F2_CU_E1_M0p5_Tlow,fleet_capacity,P3-U,P3-U,45,concentrated,2,unlimited,1,0.5,low,1,0.6,,30,1505.7,41.635653,1490.154737,1521.245263,1349.933333,18.203701,1343.136723,1356.729944,0.89712,0.024246,0.888068,0.906173,155.766667,40.144294,140.778224,170.755109,156.8,40.112256,141.823519,171.776481,345.259116,90.574559,311.441817,379.076414,929.751667,228.389795,844.479091,1015.024242,0,0,0,0,0,0,0,0,19125.866667,273.564433,19023.727498,19228.005835,38251.733333,547.128865,38047.454997,38456.01167,0.473649,0.006721,0.471139,0.476158,41.36,1.403346,40.836041,41.883959,4164.346667,50.815316,4145.374046,4183.319287,530.882074,2.258459,530.038846,531.725302,0.227467,0.005783,0.225308,0.229626,0.50787,0.020204,0.500327,0.515414,15.7,3.292101,14.470847,16.929153
fleet_capacity_D45_P3-D_F2_CU_E1_M0p5_Tlow,fleet_capacity,P3-D,P3-D,45,concentrated,2,unlimited,1,0.5,low,1,0.6,,30,1505.7,41.635653,1490.154737,1521.245263,1351.766667,17.725266,1345.148687,1358.384647,0.898338,0.024078,0.889348,0.907328,153.933333,39.852256,139.053927,168.812739,155.1,39.804133,140.238562,169.961438,342.590564,90.365949,308.851153,376.329975,918.111667,226.632024,833.49538,1002.727953,0,0,0,0,0,0,0,0,19080.733333,271.911488,18979.211315,19182.255351,38161.466667,543.822977,37958.422631,38364.510703,0.472749,0.006662,0.470261,0.475236,41.58,1.397387,41.058266,42.101734,4184.51,47.910307,4166.622006,4202.397994,540.901556,2.163584,540.093751,541.70936,0.251763,0.010277,0.247926,0.2556,0.342438,0.012065,0.337933,0.346943,11.233333,2.514555,10.294488,12.172178
fleet_capacity_D45_P0_F4_CU_E1_M0p5_Tlow,fleet_capacity,P0,P0,45,concentrated,4,unlimited,1,0.5,low,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1504.233333,41.69899,1488.664423,1519.802244,0.999024,0.000864,0.998702,0.999347,1.466667,1.306043,0.979037,1.954296,5,0.982607,4.63313,5.36687,0.682279,0.157752,0.62338,0.741178,5.4,1.101723,4.988656,5.811344,0,0,0,0,0,0,0,0,19249.333333,542.438259,19046.806301,19451.860365,38498.666667,1084.876517,38093.612603,38903.72073,0.241513,0.006789,0.238978,0.244047,100.846667,6.873173,98.28047,103.412863,5085.956667,143.083869,5032.534271,5139.379062,1070.335852,33.841231,1057.700747,1082.970956,0.578292,0.006402,0.575902,0.580683,0,0,0,0,0,0,0,0
fleet_capacity_D45_P1_F4_CU_E1_M0p5_Tlow,fleet_capacity,P1,P1,45,concentrated,4,unlimited,1,0.5,low,0,0,,30,1505.7,41.635653,1490.154737,1521.245263,1504.2,41.725209,1488.6213,1519.7787,0.999002,0.000883,0.998672,0.999331,1.5,1.332615,1.002449,1.997551,6.433333,1.330889,5.936427,6.930239,1.396615,0.328503,1.273964,1.519266,8.86,1.484773,8.305639,9.414361,0,0,0,0,0,0,0,0,22868.666667,627.874429,22634.240826,23103.092507,45737.333333,1255.748858,45268.481653,46206.185014,0.280784,0.007717,0.277903,0.283665,72.1,4.787556,70.312498,73.887502,4120.96,113.760513,4078.485896,4163.434104,183.153778,5.056023,181.26604,185.041516,0.544612,0.007425,0.54184,0.547384,0,0,0,0,0,0,0,0
fleet_capacity_D45_P2-B28_F4_CU_E1_M0p5_Tlow,fleet_capacity,P2,P2-B28,45,concentrated,4,unlimited,1,0.5,low,0,0,28,30,1505.7,41.635653,1490.154737,1521.245263,1484.166667,30.289504,1472.85765,1495.475683,0.985935,0.011891,0.981496,0.990375,21.533333,18.537443,14.612116,28.454551,30,15.240599,24.309706,35.690294,19.361985,22.703254,10.885403,27.838568,95.526667,86.804003,63.117159,127.936175,0,0,0,0,0,0,0,0,21378.4,470.301561,21202.806229,21553.993771,42756.8,940.603123,42405.612458,43107.987542,0.264179,0.005758,0.262029,0.266329,28,0,28,28,4503.063333,82.4986,4472.261309,4533.865358,536.136148,3.666604,534.767169,537.505127,0.110121,0.013072,0.105241,0.115002,0,0,0,0,0,0,0,0
