setting,policy,target,delay,damping,initial_budget,seed,requests,dispatched,completion_rate,final_queue,blocked_dispatch_attempts,head_of_line_blocked_attempts,head_of_line_share,warm_budget_mean,warm_budget_sd,warm_dispatch_mean,warm_dispatch_sd,budget_direction_changes,periods_within_point_one,final_central_budget,final_central_use
p2_b14,P2,14,0,0,14,501,2681,936,0.3491234613950019,1745,424,0,0,14,0,39,0,0,24,14,13.13056940663441
p2_b14,P2,14,0,0,14,502,2595,936,0.3606936416184971,1659,417,0,0,14,0,39,0,0,24,14,13.130546252779874
p2_b14,P2,14,0,0,14,503,2680,936,0.3492537313432836,1744,389,0,0,14,0,39,0,0,24,14,13.130536395624343
p2_b14,P2,14,0,0,14,504,2672,936,0.3502994011976048,1736,418,0,0,14,0,39,0,0,24,14,13.130543134041561
p2_b14,P2,14,0,0,14,505,2723,936,0.34373852368710983,1787,466,0,0,14,0,39,0,0,24,14,13.130530825436255
p2_b14,P2,14,0,0,14,506,2721,936,0.3439911797133407,1785,412,0,0,14,0,39,0,0,24,14,13.130533623369407
p2_b14,P2,14,0,0,14,507,2762,936,0.3388848660391021,1826,453,0,0,14,0,39,0,0,24,14,13.130533400939894
p2_b14,P2,14,0,0,14,508,2805,936,0.3336898395721925,1869,410,0,0,14,0,39,0,0,24,14,13.130553534431765
p2_b14,P2,14,0,0,14,509,2656,936,0.35240963855421686,1720,420,0,0,14,0,39,0,0,24,14,13.130550291639592
p2_b14,P2,14,0,0,14,510,2733,936,0.3424807903402854,1797,395,0,0,14,0,39,0,0,24,14,13.130540780967435
p2_b14,P2,14,0,0,14,511,2668,936,0.35082458770614694,1732,392,0,0,14,0,39,0,0,24,14,13.130538971127981
p2_b14,P2,14,0,0,14,512,2595,936,0.3606936416184971,1659,390,0,0,14,0,39,0,0,24,14,13.130553534431765
p2_b14,P2,14,0,0,14,513,2669,936,0.350693143499438,1733,426,0,0,14,0,39,0,0,24,14,13.130550958928126
p2_b14,P2,14,0,0,14,514,2721,936,0.3439911797133407,1785,418,0,0,14,0,39,0,0,24,14,13.130535629960157
p2_b14,P2,14,0,0,14,515,2654,936,0.35267520723436324,1718,377,0,0,14,0,39,0,0,24,14,13.130562124982518
p2_b14,P2,14,0,0,14,516,2650,936,0.35320754716981134,1714,411,0,0,14,0,39,0,0,24,14,13.130546030350361
p2_b14,P2,14,0,0,14,517,2628,936,0.3561643835616438,1692,396,0,0,14,0,39,0,0,24,14,13.130554077666439
p2_b14,P2,14,0,0,14,518,2684,936,0.34873323397913564,1748,396,0,0,14,0,39,0,0,24,14,13.130548383424488
p2_b14,P2,14,0,0,14,519,2586,936,0.3619489559164733,1650,380,0,0,14,0,39,0,0,24,14,13.13056103851317
p2_b14,P2,14,0,0,14,520,2641,936,0.3544112078758046,1705,425,0,0,14,0,39,0,0,24,14,13.130535852389668
p2_b14,P2,14,0,0,14,521,2703,936,0.3462819089900111,1767,405,0,0,14,0,39,0,0,24,14,13.130546475209387
p2_b14,P2,14,0,0,14,522,2712,936,0.34513274336283184,1776,408,0,0,14,0,39,0,0,24,14,13.130554201720305
p2_b14,P2,14,0,0,14,523,2661,936,0.35174746335963925,1725,380,0,0,14,0,39,0,0,24,14,13.130556973975239
p2_b14,P2,14,0,0,14,524,2669,936,0.350693143499438,1733,424,0,0,14,0,39,0,0,24,14,13.130564157251483
p2_b14,P2,14,0,0,14,525,2621,936,0.3571156047310187,1685,377,0,0,14,0,39,0,0,24,14,13.13053874869847
p2_b14,P2,14,0,0,14,526,2671,936,0.35043055035567205,1735,425,0,0,14,0,39,0,0,24,14,13.130561012834958
p2_b14,P2,14,0,0,14,527,2693,936,0.3475677682881545,1757,423,0,0,14,0,39,0,0,24,14,13.130543801330099
p2_b14,P2,14,0,0,14,528,2647,936,0.35360785795239896,1711,412,0,0,14,0,39,0,0,24,14,13.130546475209387
p2_b14,P2,14,0,0,14,529,2705,936,0.3460258780036969,1769,435,0,0,14,0,39,0,0,24,14,13.130530603006743
p2_b14,P2,14,0,0,14,530,2691,936,0.34782608695652173,1755,399,0,0,14,0,39,0,0,24,14,13.13058473560238
p2_b18,P2,18,0,0,18,501,2681,1096,0.40880268556508764,1585,0,0,0,18,0,45.75,0.5773502691896257,0,24,18,17.135589685900076
p2_b18,P2,18,0,0,18,502,2595,1095,0.42196531791907516,1500,0,0,0,18,0,45.6875,0.47871355387816905,0,24,18,17.14560671369014
p2_b18,P2,18,0,0,18,503,2680,1096,0.408955223880597,1584,0,0,0,18,0,45.6875,0.6020797289396148,0,24,18,17.145605948025953
p2_b18,P2,18,0,0,18,504,2672,1096,0.4101796407185629,1576,0,0,0,18,0,45.6875,0.47871355387816905,0,24,18,17.140593814452014
p2_b18,P2,18,0,0,18,505,2723,1094,0.4017627616599339,1629,0,0,0,18,0,45.5625,0.51234753829798,0,24,18,17.14562125131571
p2_b18,P2,18,0,0,18,506,2721,1096,0.4027930907754502,1625,0,0,0,18,0,45.75,0.5773502691896257,0,24,18,17.145604458991663
p2_b18,P2,18,0,0,18,507,2762,1094,0.39608979000724115,1668,0,0,0,18,0,45.6875,0.47871355387816905,0,24,18,17.145582990922716
p2_b18,P2,18,0,0,18,508,2805,1093,0.38966131907308377,1712,0,0,0,18,0,45.6875,0.47871355387816905,0,24,18,17.145601117823837
p2_b18,P2,18,0,0,18,509,2656,1097,0.4130271084337349,1559,0,0,0,18,0,45.75,0.4472135954999579,0,24,18,17.14059584672098
p2_b18,P2,18,0,0,18,510,2733,1094,0.40029271862422244,1639,0,0,0,18,0,45.625,0.5,0,24,18,17.140602585138204
