setting,policy,target,delay,damping,initial_budget,runs,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,blocked_dispatch_attempts_mean,blocked_dispatch_attempts_ci_low,blocked_dispatch_attempts_ci_high,head_of_line_blocked_attempts_mean,head_of_line_blocked_attempts_ci_low,head_of_line_blocked_attempts_ci_high,head_of_line_share_mean,head_of_line_share_ci_low,head_of_line_share_ci_high,warm_budget_mean_mean,warm_budget_mean_ci_low,warm_budget_mean_ci_high,warm_budget_sd_mean,warm_budget_sd_ci_low,warm_budget_sd_ci_high,warm_dispatch_mean_mean,warm_dispatch_mean_ci_low,warm_dispatch_mean_ci_high,warm_dispatch_sd_mean,warm_dispatch_sd_ci_low,warm_dispatch_sd_ci_high,budget_direction_changes_mean,budget_direction_changes_ci_low,budget_direction_changes_ci_high,periods_within_point_one_mean,periods_within_point_one_ci_low,periods_within_point_one_ci_high,final_central_budget_mean,final_central_budget_ci_low,final_central_budget_ci_high,final_central_use_mean,final_central_use_ci_low,final_central_use_ci_high
p2_b14,P2,14,0,0,14,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,936,936,936,0.34981123890782245,0.34756354309076326,0.35205893472488164,1740.5666666666666,1723.2863673202457,1757.8469660130875,410.1,402.5023533347112,417.69764666528886,0,0,0,0,0,0,14,14,14,0,0,0,39,39,39,0,0,0,0,0,0,24,24,24,14,14,14,13.130548381082583,13.130543894122173,13.130552868042994
p2_b18,P2,18,0,0,18,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1094.8333333333333,1094.326536919214,1095.3401297474525,0.40917216437405385,0.4065350576872067,0.411809271060901,1581.7333333333333,1564.4320294230447,1599.034637243622,0,0,0,0,0,0,0,0,0,18,18,18,0,0,0,45.675,45.646588158126924,45.70341184187307,0.5162862539938005,0.489558023727202,0.543014484260399,0,0,0,24,24,24,18,18,18,17.1437688910108,17.142771943204497,17.144765838817104
p2_b20,P2,20,0,0,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1101.0666666666666,1100.569991066963,1101.5633422663702,0.4115014595995195,0.4088553874054842,0.4141475317935548,1575.5,1558.2153401610815,1592.7846598389185,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,45.958333333333336,45.94038972221192,45.97627694445475,0.13926026546702955,0.0870134269816441,0.191507103952415,0,0,0,24,24,24,20,20,20,19.13556053562794,19.13555713351547,19.135563937740407
p3u_t10_d0,P3-U,10,0,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,586,586,586,0.2190057542734871,0.21759854300340517,0.220412965543569,2090.5666666666666,2073.2863673202455,2107.8469660130877,1321.1333333333334,1311.284911046089,1330.9817556205778,0,0,0,0,0,0,10.111868313554327,10.111837977140333,10.111898649968321,0.14820431929940575,0.14813848350514972,0.1482701550936618,18.827083333333334,18.81746214373578,18.836704522930887,9.528411260340189,9.515885387714277,9.5409371329661,0,0,0,10,10,10,10.002775681690782,10.002765955372627,10.002785408008936,10.000009882911332,10.00000856723615,10.000011198586513
p3d_025_t10_d0,P3-D0.25,10,0,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,895,895,895,0.33448831070780033,0.3323390716519585,0.3366375497636422,1781.5666666666666,1764.2863673202457,1798.8469660130875,521.2666666666667,513.2040152255751,529.3293181077582,0,0,0,0,0,0,11.473549970477958,11.473424053341738,11.473675887614178,0.6771985893407765,0.6771208882896853,0.6772762903918677,35.00416666666667,34.97999744365483,35.02833588967851,3.9339563573676477,3.8931040763676426,3.974808638367653,0,0,0,0,0,0,10.866129736743675,10.866061646256616,10.866197827230733,10.105109710109307,10.10465412855991,10.105565291658705
p3d_05_t10_d0,P3-D0.5,10,0,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,808.9666666666667,808.9013333333334,809.032,0.3023352840852256,0.30038821858832526,0.3042823495821259,1867.6,1850.3082269139404,1884.8917730860594,737.3666666666667,728.7581007143847,745.9752326189487,0,0,0,0,0,0,10.743765102059943,10.743668568560663,10.743861635559222,0.1449940234577089,0.14497216968926727,0.14501587722615053,30.322916666666668,30.31443910726493,30.331394226068404,0.6361040699213213,0.6084135062306969,0.6637946336119457,0,0,0,0,0,0,10.516766781947036,10.516670209517686,10.516863354376385,10.100419882798228,10.100416171069714,10.100423594526742
p3d_075_t10_d0,P3-D0.75,10,0,0.75,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,701,701,701,0.2619846992247687,0.2603013287463942,0.26366806970314316,1975.5666666666666,1958.2863673202457,1992.8469660130875,1017.6,1008.778573295467,1026.4214267045331,0,0,0,0,0,0,10.228813391953993,10.22880116695739,10.228825616950596,0.18847567111132463,0.18845836467721777,0.18849297754543148,25.064583333333335,25.0605,25.06866666666667,7.665058617371602,7.661995340595967,7.668121894147237,0,0,0,6,6,6,10.0058220515324,10.00581502071936,10.00582908234544,10.005028500623887,10.005027257197694,10.005029744050079
p3u_t10_d1,P3-U,10,1,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,762.8666666666667,762.573481333052,763.1598520002814,0.2851063036761466,0.28326646818752166,0.2869461391647715,1913.7,1896.4101294527625,1930.9898705472376,838.5333333333333,830.3177993543769,846.7488673122897,0,0,0,0,0,0,10.453145576791625,10.452989841158947,10.453301312424303,0.46688776208212346,0.4665794428048607,0.46719608135938623,29.616666666666667,29.596547862439653,29.63678547089368,5.604825323763066,5.521351762883592,5.68829888464254,4,4,4,0,0,0,10.187475784674206,10.186597074628356,10.188354494720055,10.100420753100671,10.100416878328687,10.100424627872655
p3d_025_t10_d1,P3-D0.25,10,1,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,893.8333333333334,893.6683189951661,893.9983476715006,0.3340518613337726,0.3319131353222762,0.3361905873452691,1782.7333333333333,1765.4767506550681,1799.9899160115986,511.43333333333334,503.3993483509402,519.4673183157264,2,-1.92,5.92,0.003976143141153081,-0.003817097415506958,0.011769383697813121,11.169746972786129,11.169590744138922,11.169903201433335,0.7066053778345941,0.7064737638668904,0.7067369918022978,35.708333333333336,35.67819325487455,35.73847341179212,7.582056361142761,7.545803510541932,7.61830921174359,0,0,0,0,0,0,10.587344726414983,10.587196905293212,10.587492547536755,10.115149807006317,10.114694068471275,10.115605545541358
p3d_05_t10_d1,P3-D0.5,10,1,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,536,536,536,0.20031925646858215,0.19903211441949697,0.20160639851766732,2140.5666666666666,2123.2863673202455,2157.8469660130877,1511.5333333333333,1499.346016959395,1523.7206497072716,0,0,0,0,0,0,10.01676096799976,10.016713984306069,10.016807951693451,0.030013190259788453,0.02990066389618131,0.030125716623395596,12.791666666666666,12.778102571623888,12.805230761709444,5.941426435037375,5.902101364773614,5.980751505301136,0,0,0,15,15,15,10.00230291247807,10.002299236646648,10.002306588309493,10.00000949073231,10.00000851466744,10.00001046679718
