setting,policy,target,delay,damping,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high,blocked_dispatch_attempts_mean,blocked_dispatch_attempts_ci_low,blocked_dispatch_attempts_ci_high,head_of_line_blocked_attempts_mean,head_of_line_blocked_attempts_ci_low,head_of_line_blocked_attempts_ci_high
p2_b14,P2,14,0,0,1,30,39,39,39,39.46666666666667,36.774434685178896,42.15889864815444,14,14,14,13.130551531712857,13.130547545776995,13.13055551764872,14,14,14,11.166666666666666,9.804572156018196,12.528761177315136,0,0,0
p2_b14,P2,14,0,0,2,30,39,39,39,79.33333333333333,74.94526997045577,83.72139669621089,14,14,14,13.130547577351495,13.130543898557713,13.130551256145276,14,14,14,12.2,11.244409744905179,13.15559025509482,0,0,0
p2_b14,P2,14,0,0,3,30,39,39,39,121.23333333333333,115.23461632618915,127.23205034047751,14,14,14,13.130549841642374,13.130545443275462,13.130554240009285,14,14,14,12.366666666666667,11.14686305204768,13.586470281285655,0,0,0
p2_b14,P2,14,0,0,4,30,39,39,39,160.96666666666667,155.2950061274568,166.63832720587655,14,14,14,13.13054712454241,13.13054189364833,13.13055235543649,14,14,14,12.7,11.848243950525685,13.551756049474314,0,0,0
p2_b14,P2,14,0,0,5,30,39,39,39,205.93333333333334,199.64197909552462,212.22468757114206,14,14,14,13.130548313038213,13.13054371113727,13.130552914939157,14,14,14,13.833333333333334,12.380264813749566,15.286401852917102,0,0,0
p2_b14,P2,14,0,0,6,30,39,39,39,244.3,236.69259570602733,251.9074042939727,14,14,14,13.130547884089683,13.130543619371721,13.130552148807645,14,14,14,13.233333333333333,11.918749274004243,14.547917392662422,0,0,0
p2_b14,P2,14,0,0,7,30,39,39,39,287.3,278.81560488003277,295.78439511996726,14,14,14,13.130549888299742,13.130545614808641,13.130554161790842,14,14,14,13.033333333333333,11.78490593328955,14.281760733377116,0,0,0
p2_b14,P2,14,0,0,8,30,39,39,39,326.2,316.8669247851784,335.53307521482157,14,14,14,13.13054858158416,13.130544724916016,13.130552438252304,14,14,14,12,10.781947286118903,13.218052713881097,0,0,0
p2_b14,P2,14,0,0,9,30,39,39,39,416.53333333333336,404.90863323601945,428.15803343064727,14,14,14,13.130545421512682,13.130541096201112,13.130549746824252,14,14,14,19.533333333333335,17.78597462161071,21.28069204505596,0,0,0
p2_b14,P2,14,0,0,10,30,39,39,39,504.06666666666666,492.4757462512454,515.6575870820878,14,14,14,13.130546747651612,13.130542711699466,13.13055078360376,14,14,14,20.2,18.2915940093137,22.108405990686297,0,0,0
p2_b14,P2,14,0,0,11,30,39,39,39,589.3333333333334,576.2069891518455,602.4596775148212,14,14,14,13.130547952372913,13.130544617002885,13.130551287742941,14,14,14,20.666666666666668,18.870460874157875,22.46287245917546,0,0,0
p2_b14,P2,14,0,0,12,30,39,39,39,677.9333333333333,665.0996864740492,690.7669801926173,14,14,14,13.130547808933068,13.130542896439223,13.130552721426913,14,14,14,17.833333333333332,16.544530152142837,19.122136514523827,0,0,0
p2_b14,P2,14,0,0,13,30,39,39,39,762.9333333333333,749.2365468410732,776.6301198255934,14,14,14,13.130548431270928,13.130543752058164,13.13055311048369,14,14,14,17.8,16.179377273086516,19.420622726913486,0,0,0
p2_b14,P2,14,0,0,14,30,39,39,39,851.8666666666667,838.3945550918792,865.3387782414542,14,14,14,13.130546322234057,13.130542391534382,13.130550252933732,14,14,14,19.433333333333334,17.999845268977253,20.866821397689414,0,0,0
p2_b14,P2,14,0,0,15,30,39,39,39,938.6333333333333,925.4686457032196,951.798020963447,14,14,14,13.130547419019788,13.130542836655279,13.130552001384297,14,14,14,18.4,16.874247304653757,19.92575269534624,0,0,0
p2_b14,P2,14,0,0,16,30,39,39,39,1032.9666666666667,1018.0825632300766,1047.8507701032568,14,14,14,13.130548067641449,13.130543233574645,13.130552901708253,14,14,14,19.133333333333333,17.578530634290722,20.688136032375944,0,0,0
p2_b14,P2,14,0,0,17,30,39,39,39,1122.9333333333334,1107.6036446190565,1138.2630220476103,14,14,14,13.13055022398383,13.130545768681154,13.130554679286506,14,14,14,19.033333333333335,17.516627303782247,20.550039362884423,0,0,0
p2_b14,P2,14,0,0,18,30,39,39,39,1210.3333333333333,1195.233674531271,1225.4329921353956,14,14,14,13.130549243007563,13.130543896778269,13.130554589236857,14,14,14,18.533333333333335,17.133981452702965,19.932685213963705,0,0,0
p2_b14,P2,14,0,0,19,30,39,39,39,1295.1666666666667,1278.9024852378984,1311.430848095435,14,14,14,13.130549963456358,13.130546287189512,13.130553639723205,14,14,14,19.533333333333335,18.05421245950761,21.01245420715906,0,0,0
p2_b14,P2,14,0,0,20,30,39,39,39,1385.3,1368.5018487990458,1402.0981512009541,14,14,14,13.130548041357653,13.130543623403279,13.130552459312026,14,14,14,20.433333333333334,18.619148931971225,22.247517734695442,0,0,0
p2_b14,P2,14,0,0,21,30,39,39,39,1470.7666666666667,1453.3170143042016,1488.2163190291317,14,14,14,13.130551789420728,13.13054645146659,13.130557127374868,14,14,14,20.166666666666668,18.84738844765557,21.485944885677764,0,0,0
p2_b14,P2,14,0,0,22,30,39,39,39,1559.4666666666667,1542.8704035522187,1576.0629297811147,14,14,14,13.130548018957196,13.130543869088081,13.130552168826311,14,14,14,19.8,18.008553246321743,21.59144675367826,0,0,0
p2_b14,P2,14,0,0,23,30,39,39,39,1649.5666666666666,1632.4202727162783,1666.713060617055,14,14,14,13.130546719561648,13.130542300817172,13.130551138306124,14,14,14,19.2,17.715911952297528,20.68408804770247,0,0,0
p2_b14,P2,14,0,0,24,30,39,39,39,1740.5666666666666,1723.2863673202457,1757.8469660130875,14,14,14,13.130548381082583,13.130543894122173,13.130552868042994,14,14,14,19.866666666666667,18.568815947045394,21.16451738628794,0,0,0
p2_b18,P2,18,0,0,1,30,44.2,43.77555001106909,44.62444998893091,34.266666666666666,31.713847763475446,36.81948556985788,18,18,18,17.136569895174535,17.134439279223436,17.138700511125634,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,2,30,45.833333333333336,45.69769238290556,45.96897428376111,67.3,62.98723204330724,71.61276795669276,18,18,18,17.144776067836933,17.144095583413364,17.1454565522605,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,3,30,45.8,45.65441485486919,45.945585145130806,102.4,96.50080680365392,108.2991931963461,18,18,18,17.144602924602655,17.143873646623845,17.145332202581464,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,4,30,45.666666666666664,45.495092927729964,45.838240405603365,135.46666666666667,129.86610454928493,141.0672287840484,18,18,18,17.14393079784839,17.143071868987043,17.14478972670974,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,5,30,45.7,45.53321126309424,45.86678873690577,173.73333333333332,167.492717409315,179.97394925735165,18,18,18,17.14410144775361,17.1432663528412,17.14493654266602,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,6,30,45.53333333333333,45.32887962706303,45.73778703960363,205.56666666666666,197.97522183071362,213.1581115026197,18,18,18,17.14326795977569,17.14224402321934,17.144291896332042,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,7,30,45.63333333333333,45.45794166435247,45.8087250023142,241.93333333333334,233.44384808658313,250.42281858008354,18,18,18,17.143767811634454,17.142889211228642,17.144646412040267,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,8,30,45.666666666666664,45.47104250593866,45.862290827394666,274.1666666666667,264.88688246716765,283.4464508661657,18,18,18,17.143933460373102,17.1429545869977,17.144912333748504,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,9,30,45.833333333333336,45.69769238290556,45.96897428376111,357.6666666666667,346.0402193946673,369.29311393866607,18,18,18,17.144773583570846,17.144094779852654,17.145452387289037,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,10,30,45.666666666666664,45.495092927729964,45.838240405603365,438.53333333333336,426.9002795567628,450.1663871099039,18,18,18,17.143932026128173,17.143072494694145,17.1447915575622,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,11,30,45.766666666666666,45.61272763310584,45.92060570022749,517.0333333333333,503.85624119659553,530.2104254700711,18,18,18,17.144435571581973,17.143663065655513,17.145208077508432,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,12,30,45.56666666666667,45.36329568842918,45.77003764490416,599.0666666666667,586.2471343089818,611.8861990243516,18,18,18,17.143432274249726,17.142412284191213,17.14445226430824,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,13,30,45.7,45.53321126309424,45.86678873690577,677.3666666666667,663.6838949526543,691.049438380679,18,18,18,17.144100383142668,17.14326596082463,17.144934805460707,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,14,30,45.63333333333333,45.43435217363295,45.832314493033714,759.6666666666666,746.1416926332215,773.1916407001117,18,18,18,17.14376735256907,17.14276960719894,17.144765097939203,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,15,30,45.8,45.65441485486919,45.945585145130806,839.6333333333333,826.3827244665304,852.8839422001363,18,18,18,17.14460057769055,17.14387040994846,17.14533074543264,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,16,30,45.733333333333334,45.57238289951722,45.894283767149446,927.2333333333333,912.3233829187952,942.1432837478715,18,18,18,17.144266768001753,17.143458947530924,17.145074588472582,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,17,30,45.63333333333333,45.45794166435247,45.8087250023142,1010.5666666666667,995.1784008062272,1025.9549325271064,18,18,18,17.143766099163507,17.142886617985734,17.14464558034128,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,18,30,45.7,45.50855876325505,45.89144123674495,1091.2666666666667,1076.1513416053651,1106.3819917279682,18,18,18,17.14410385211087,17.143144995939338,17.145062708282403,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,19,30,45.666666666666664,45.495092927729964,45.838240405603365,1169.4333333333334,1153.1188403833653,1185.7478262833015,18,18,18,17.143931737051158,17.14307200880797,17.144791465294347,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,20,30,45.6,45.37761501745898,45.822384982541024,1252.9666666666667,1236.0900148787414,1269.843318454592,18,18,18,17.143602516593432,17.142486931758917,17.144718101427948,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,21,30,45.53333333333333,45.289481233192085,45.77718543347458,1331.9,1314.4772760512858,1349.3227239487144,18,18,18,17.143266485494998,17.142045833273873,17.144487137716123,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,22,30,45.7,45.53321126309424,45.86678873690577,1413.9,1397.3038388762347,1430.4961611237654,18,18,18,17.144104554848195,17.143269268279077,17.14493984141731,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,23,30,45.63333333333333,45.43435217363295,45.832314493033714,1497.3666666666666,1480.1909913266115,1514.5423420067216,18,18,18,17.143768625190184,17.142771761909195,17.144765488471172,18,18,18,0,0,0,0,0,0
p2_b18,P2,18,0,0,24,30,45.63333333333333,45.43435217363295,45.832314493033714,1581.7333333333333,1564.4320294230447,1599.034637243622,18,18,18,17.1437688910108,17.142771943204497,17.144765838817104,18,18,18,0,0,0,0,0,0
p2_b20,P2,20,0,0,1,30,44.36666666666667,43.931092337569346,44.80224099576399,34.1,31.59887503012294,36.60112496987706,20,20,20,19.12736237186346,19.12517509540871,19.129549648318207,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,2,30,45.833333333333336,45.69769238290556,45.96897428376111,67.13333333333334,62.78124107039427,71.4854255962724,20,20,20,19.13473101120081,19.134050947483697,19.135411074917922,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,3,30,45.96666666666667,45.90133333333333,46.032000000000004,102.06666666666666,96.1657271947401,107.96760613859323,20,20,20,19.13539596930597,19.13506998907013,19.135721949541814,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,4,30,45.96666666666667,45.90133333333333,46.032000000000004,134.83333333333334,129.2609495116697,140.40571715499698,20,20,20,19.13539485466419,19.13506915653174,19.135720552796645,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,5,30,45.8,45.65441485486919,45.945585145130806,173,166.73321193563416,179.26678806436584,20,20,20,19.134558723503556,19.133829166635643,19.13528828037147,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,6,30,45.93333333333333,45.84254504438612,46.02412162228054,204.43333333333334,196.86985965996982,211.99680700669686,20,20,20,19.13523145301483,19.13477714797181,19.135685758057846,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,7,30,45.96666666666667,45.90133333333333,46.032000000000004,240.46666666666667,232.0273662144606,248.90596711887272,20,20,20,19.135394978901427,19.135067536290446,19.13572242151241,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,8,30,45.9,45.79081114115189,46.009188858848105,272.46666666666664,263.1613890177942,281.7719443155391,20,20,20,19.135060540631407,19.134512361344143,19.13560871991867,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,9,30,45.9,45.79081114115189,46.009188858848105,355.9,344.2796246563875,367.52037534361244,20,20,20,19.13506456357808,19.134516632639148,19.135612494517012,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,10,30,46,46,46,436.43333333333334,424.84898627507044,448.01768039159623,20,20,20,19.135561481546578,19.13555792194824,19.135565041144915,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,11,30,45.93333333333333,45.84254504438612,46.02412162228054,514.7666666666667,501.6304530120371,527.9028803212963,20,20,20,19.135228605591774,19.134773085320393,19.135684125863154,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,12,30,45.96666666666667,45.90133333333333,46.032000000000004,596.4,583.5878179234286,609.2121820765714,20,20,20,19.135395288905865,19.13506732224806,19.135723255563672,20,20,20,0,0,0,0,0,0
