setting,policy,target,delay,damping,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,final_queue_north,final_queue_central,final_queue_south,late_trip_north_share,late_trip_central_share,late_trip_south_share,late_budget_mean,late_budget_sd,late_dispatch_mean,late_dispatch_sd,late_use_mean,late_use_sd,late_direction_changes,final_central_budget,target_gap,first_sustained_within_point_one,first_sustained_dispatch_below_40
p2_b13,P2,13,0,0,501,120,15018,4320,0.2876548142229325,0.32226781051846326,0.2786198000644953,10698,2084,6446,2168,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120504839453952,0.000009298249965166412,0,13,0,1,1
p2_b13,P2,13,0,0,502,120,14935,4320,0.28925343153665883,0.3329479768786127,0.2763915547024952,10615,2192,6331,2092,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.12050758910465,0.000010209800524545439,0,13,0,1,1
p2_b13,P2,13,0,0,503,120,15156,4320,0.2850356294536817,0.32238805970149254,0.27169811320754716,10836,2186,6511,2139,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120509400942057,0.00001061656621486493,0,13,0,1,1
p2_b13,P2,13,0,0,504,120,14935,4320,0.28925343153665883,0.32335329341317365,0.28033744321868914,10615,2113,6402,2100,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120507317227563,0.00000995582182217877,0,13,0,1,1
p2_b13,P2,13,0,0,505,120,14696,4320,0.2939575394665215,0.31729709878810136,0.28505443747937975,10376,2045,6247,2084,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.12050641559665,0.000008700202766409,0,13,0,1,1
p2_b13,P2,13,0,0,506,120,14887,4320,0.29018606838180966,0.3175303197353914,0.28134158254640185,10567,2114,6246,2207,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.12050450250471,0.00000838840190974482,0,13,0,1,1
p2_b13,P2,13,0,0,507,120,14932,4320,0.28931154567372086,0.3128167994207096,0.2780817508850982,10612,2221,6295,2096,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120505207156912,0.000014142416237410458,0,13,0,1,1
p2_b13,P2,13,0,0,508,120,15103,4297,0.28451301066013374,0.30802139037433157,0.27781350482315115,10806,2173,6465,2168,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120507971638176,0.000013596573204955167,0,13,0,1,1
p2_b13,P2,13,0,0,509,120,15068,4297,0.28517387841783914,0.3253012048192771,0.2706766917293233,10771,2210,6443,2118,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120504549914118,0.000011203008994876785,0,13,0,1,1
p2_b13,P2,13,0,0,510,120,15073,4320,0.2866051880846547,0.31613611416026344,0.28393033190930006,10753,2126,6483,2144,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120507404045291,0.000007771576370910233,0,13,0,1,1
