setting,policy,target,delay,damping,runs,periods,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,first24_completion_rate_mean,first24_completion_rate_ci_low,first24_completion_rate_ci_high,late24_service_ratio_mean,late24_service_ratio_ci_low,late24_service_ratio_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,final_queue_north_mean,final_queue_north_ci_low,final_queue_north_ci_high,final_queue_central_mean,final_queue_central_ci_low,final_queue_central_ci_high,final_queue_south_mean,final_queue_south_ci_low,final_queue_south_ci_high,late_trip_north_share_mean,late_trip_north_share_ci_low,late_trip_north_share_ci_high,late_trip_central_share_mean,late_trip_central_share_ci_low,late_trip_central_share_ci_high,late_trip_south_share_mean,late_trip_south_share_ci_low,late_trip_south_share_ci_high,late_budget_mean_mean,late_budget_mean_ci_low,late_budget_mean_ci_high,late_budget_sd_mean,late_budget_sd_ci_low,late_budget_sd_ci_high,late_dispatch_mean_mean,late_dispatch_mean_ci_low,late_dispatch_mean_ci_high,late_dispatch_sd_mean,late_dispatch_sd_ci_low,late_dispatch_sd_ci_high,late_use_mean_mean,late_use_mean_ci_low,late_use_mean_ci_high,late_use_sd_mean,late_use_sd_ci_low,late_use_sd_ci_high,late_direction_changes_mean,late_direction_changes_ci_low,late_direction_changes_ci_high,final_central_budget_mean,final_central_budget_ci_low,final_central_budget_ci_high,target_gap_mean,target_gap_ci_low,target_gap_ci_high,first_sustained_within_point_one_mean,first_sustained_within_point_one_ci_low,first_sustained_within_point_one_ci_high,first_sustained_dispatch_below_40_mean,first_sustained_dispatch_below_40_ci_low,first_sustained_dispatch_below_40_ci_high
p2_b13,P2,13,0,0,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4316.933333333333,4314.087690932341,4319.778975734326,0.28827661438238245,0.2874129785751423,0.2891402501896226,0.3226190466019939,0.3204148130857979,0.32482328011818995,0.28088576966797574,0.2786434389070744,0.2831281004288771,10658.933333333332,10617.344842886025,10700.52182378064,2140.2,2120.1921036829335,2160.207896317066,6385.066666666667,6358.118019107428,6412.015314225905,2133.6666666666665,2115.8817430415147,2151.4515902918183,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,13,13,0,0,0,36,36,36,0,0,0,12.120505556280104,12.120504756010144,12.120506356550065,0.000011254492481987397,0.000010448286660801495,0.0000120606983031733,0,0,0,13,13,13,0,0,0,1,1,1,1,1,1
p3u_t13,P3-U,13,1,1,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4679.633333333333,4679.376258840201,4679.890407826465,0.31249567004411727,0.31164608987395515,0.3133452502142794,0.35983977677641915,0.3575245656409605,0.3621549879118778,0.3035007618769222,0.30109439470514016,0.30590712904870426,10296.233333333334,10255.648434870936,10336.81823179573,2066.5,2047.7625098161252,2085.237490183875,6166.866666666667,6140.43472007928,6193.298613254054,2062.866666666667,2044.2480935412618,2081.4852397920718,0.32691848834896187,0.32674686272720443,0.3270901139707193,0.3320601643617072,0.3319411143769399,0.3321792143464745,0.3410213472893309,0.34077071598789443,0.3412719785907674,13.423551320663531,13.423443053281579,13.423659588045483,0.27987639880361426,0.27977343423563095,0.27997936337159757,38.89861111111111,38.88466616294357,38.91255605927865,5.02897342526689,5.009155203542128,5.048791646991652,13.047124541465346,13.047054565089873,13.047194517840818,0.27497294563791186,0.27486441930551603,0.2750814719703077,2,2,2,13.143552687537245,13.143003549830258,13.144101825244231,0.42355132066353207,0.4234430532815791,0.42365958804548504,0,0,0,9.2,1.4892539770859354,16.91074602291406
p3d_025_t13,P3-D0.25,13,1,0.25,30,120,14975.866666666667,14935.292753039002,15016.440580294331,2923,2923,2923,0.1951915327940069,0.1946613909350143,0.19572167465299947,0.38765837084451965,0.3851120577095582,0.3902046839794811,0.10143097238010233,0.10062124182755461,0.10224070293265006,12052.866666666667,12012.292753039002,12093.440580294331,2416.366666666667,2396.1488690687875,2436.584464264546,7223.833333333333,7195.70642343309,7251.960243233576,2412.6666666666665,2394.155696912868,2431.177636420465,0,0,0,1,1,1,0,0,0,13.003466733921877,13.003463369299247,13.003470098544508,0.000012972889001694041,0.000012714254719537545,0.000013231523283850537,13,13,13,0,0,0,13.00001214447702,13.000011911798996,13.000012377155045,0.000004191045512528157,0.000003962160225861769,0.000004419930799194546,0,0,0,13.003445970984052,13.003442674397418,13.003449267570685,0.003466733921876338,0.003463369299245389,0.003470098544507287,45,45,45,33.9,33.55663812193205,34.243361878067944
p3d_05_t13,P3-D0.5,13,1,0.5,30,120,14975.866666666667,14935.292753039002,15016.440580294331,2348.7,2259.909762074333,2437.490237925667,0.1568159289013913,0.15094362900042374,0.16268822880235884,0.33065255518608816,0.3213412622198485,0.33996384815232783,0.10143097238010233,0.10062124182755461,0.10224070293265006,12627.166666666666,12537.416687364861,12716.916645968471,2531.866666666667,2512.165159706781,2551.5681736265524,7566.633333333333,7509.096918413929,7624.169748252737,2528.6666666666665,2499.837325780363,2557.4960075529702,0,0,0,1,1,1,0,0,0,13.00101333392306,13.000890194563057,13.001136473283063,0.000025680195041622923,0.000025089238854106764,0.00002627115122913908,13,13,13,0,0,0,13.000012121599912,13.000011842515937,13.000012400683888,0.000004265884250174123,0.000004048910180293383,0.0000044828583200548635,0,0,0,13.000971589407609,13.000848563233788,13.00109461558143,0.001013333923063738,0.0008901945630603849,0.0011364732830670913,27.333333333333332,24.416579771409364,30.2500868952573,26.366666666666667,22.618870142137617,30.114463191195718
p3d_075_t13,P3-D0.75,13,1,0.75,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4691.366666666667,4691.167685506966,4691.565647826367,0.3132791659068498,0.312429015199581,0.3141293166141186,0.3620182842892912,0.35971880893110353,0.3643177596474789,0.30473672309761546,0.30231213223786124,0.3071613139573697,10284.5,10243.93762210829,10325.06237789171,2063.9666666666667,2045.3533711606615,2082.579962172672,6159.833333333333,6133.45869082082,6186.207975845846,2060.7,2042.1195502918706,2079.2804497081293,0.33181601757917084,0.33149220582415184,0.33213982933418984,0.3285801764966772,0.3285104236807233,0.3286499293126311,0.3396038059241518,0.33928094574102297,0.3399266661072806,13.32585519877211,13.325487788766317,13.326222608777904,0.2635629840639796,0.2631678219985003,0.2639581461294589,39.05694444444444,39.04865356279026,39.06523532609862,8.279649433357537,8.255645247449893,8.303653619265182,12.96500425804171,12.964962501222976,12.965046014860443,0.3695538752012306,0.36906064262853844,0.3700471077739228,4,4,4,13.512260950784379,13.511636241209423,13.512885660359334,0.32585519877211283,0.3254877887663185,0.32622260877790715,0,0,0,0,0,0
p2_b13.5,P2,13.5,0,0,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4680,4680,4680,0.3125201414560219,0.311671334100536,0.31336894881150784,0.34981123890782245,0.34756354309076326,0.35205893472488164,0.304292917140307,0.3018637254826638,0.30672210879795014,10295.866666666667,10255.292753039002,10336.440580294331,2066.5333333333333,2047.7746498774995,2085.292016789167,6166.5,6140.0922849482795,6192.9077150517205,2062.8333333333335,2044.220844426822,2081.4458222398453,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.5,13.5,13.5,0,0,0,39,39,39,0,0,0,13.130548247639783,13.130547658180081,13.130548837099486,0.000011596758833399568,0.000011112278403997379,0.000012081239262801757,0,0,0,13.5,13.5,13.5,0,0,0,1,1,1,1,1,1
p3u_t13.5,P3-U,13.5,1,1,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4853.166666666667,4851.388372938855,4854.944960394479,0.32408386070158446,0.3231939705791134,0.3249737508240555,0.3726336517746177,0.37023957354200854,0.3750277300072269,0.3125110395204086,0.30989011957495477,0.3151319594658624,10122.7,10082.070576036742,10163.32942396326,2030.7666666666667,2012.2434518633086,2049.2898814700247,6064.4,6038.538720437733,6090.261279562266,2027.5333333333333,2008.7758268712705,2046.290839795396,0.3338042854372819,0.3331640130008421,0.33444455787372174,0.3339427417251546,0.3333335611005171,0.3345519223497921,0.3322529728375635,0.33100975394163695,0.33349619173349004,13.966471891193207,13.966285598406436,13.966658183979977,0.2548776143270103,0.2547200507406351,0.2550351779133855,40.052777777777784,39.9800554479891,40.12550010756647,6.5563448182830095,6.492628473252574,6.620061163313445,13.508951415586672,13.50858646125531,13.509316369918034,0.47958887311658044,0.4791147374113969,0.480063008821764,8,8,8,13.984552891840817,13.983847647507714,13.98525813617392,0.46647189119320637,0.4662855984064363,0.46665818397997644,0,0,0,0,0,0
p3d_025_t13.5,P3-D0.25,13.5,1,0.25,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4514.133333333333,4508.618578626283,4519.648088040383,0.3014429616351499,0.30059023301763615,0.3022956902526636,0.3826999526649339,0.3802282214769684,0.3851716838528994,0.28090067324011747,0.2780526506319392,0.28374869584829576,10461.733333333334,10421.487100323537,10501.97956634313,2101,2081.743647067114,2120.256352932886,6264.966666666666,6238.687559385807,6291.245773947526,2095.766666666667,2077.8838551226086,2113.649478210725,0.3666785800042157,0.3654352072370224,0.36792195277140904,0.3723694794035522,0.36968441004437314,0.37505454876273125,0.2609519405922322,0.258752772683383,0.2631511085010814,13.976383504009851,13.97522595848624,13.977541049533462,0.07038748019433422,0.06993507711124738,0.07083988327742105,36.00277777777777,35.75856337104044,36.24699218451511,12.319973504490408,12.198841695472058,12.441105313508757,13.5148711383848,13.50688817869913,13.52285409807047,0.4401103870918589,0.43832719138813914,0.44189358279557867,6.8,6.6544148548691915,6.945585145130808,13.987417795517253,13.965894232668091,14.008941358366414,0.47638350400984864,0.4752259584862367,0.47754104953346055,0,0,0,0,0,0
p3d_05_t13.5,P3-D0.5,13.5,1,0.5,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4813.533333333334,4810.85096023178,4816.215706434888,0.3214378860866864,0.3205148431444912,0.3223609290288816,0.37946064869470575,0.37701672062117575,0.38190457676823575,0.31164188537688386,0.30900237177771805,0.3142813989760497,10162.333333333334,10121.172653900883,10203.494012765785,2038.7333333333333,2020.0682868749122,2057.3983797917545,6087.3,6061.284903046169,6113.315096953831,2036.3,2017.5028890309811,2055.097110969019,0.3441459404881712,0.34253383564392137,0.34575804533242105,0.3340812464719721,0.33314901633817184,0.3350134766057724,0.3217728130398567,0.32007889934947314,0.3234667267302403,13.931679707959352,13.927757378656038,13.935602037262667,0.14704681681747653,0.14481162720103505,0.149282006433918,39.941666666666656,39.839966100746125,40.04336723258719,10.128460436049057,10.018314977566362,10.238605894531752,13.47660857837903,13.470426584399014,13.482790572359047,0.44655309468337495,0.444034899443062,0.4490712899236879,6.266666666666667,6.105716232850557,6.4276171004827765,13.999861347519401,13.956294546877615,14.043428148161187,0.4316797079593525,0.4277573786560381,0.43560203726266694,0,0,0,0,0,0
p3d_075_t13.5,P3-D0.75,13.5,1,0.75,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4865.233333333334,4864.990388311724,4865.476278354943,0.3248896883406346,0.3240036842507518,0.32577569243051735,0.373603916614533,0.371229752537143,0.375978080691923,0.3155320422830584,0.31298456312164646,0.3180795214444704,10110.633333333333,10070.006807624099,10151.259859042568,2028,2009.545970181239,2046.454029818761,6057.366666666667,6031.567461227002,6083.165872106331,2025.2666666666667,2006.439092959234,2044.0942403740994,0.32973889748220486,0.32953861294689757,0.32993918201751216,0.33073496639112965,0.3306121428805406,0.3308577899017187,0.33952613612666555,0.3392473384262662,0.3398049338270649,13.940320949220533,13.937326906226264,13.943314992214802,0.21670322055186064,0.21495735777786937,0.21844908332585192,40.44027777777778,40.42527358863662,40.45528196691894,8.323884677576357,8.09869457930352,8.549074775849194,13.5108976829208,13.510822245098863,13.510973120742738,0.46930951924527253,0.46837299033178864,0.4702460481587564,6.933333333333334,6.842545044386126,7.024121622280541,13.728946072475244,13.688746730656561,13.769145414293927,0.44032094922053105,0.4373269062262628,0.4433149922147993,0,0,0,0,0,0
