setting,policy,target,damping,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,queue_north_mean,queue_north_ci_low,queue_north_ci_high,queue_central_mean,queue_central_ci_low,queue_central_ci_high,queue_south_mean,queue_south_ci_low,queue_south_ci_high,trip_north_mean,trip_north_ci_low,trip_north_ci_high,trip_central_mean,trip_central_ci_low,trip_central_ci_high,trip_south_mean,trip_south_ci_low,trip_south_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high
p2_b13,P2,13,0,1,30,36,36,36,42.46666666666667,39.774434685178896,45.15889864815444,7.7,6.518194406947524,8.881805593052476,26.466666666666665,24.309881717255237,28.623451616078093,8.3,7.422706041480296,9.177293958519705,12,12,12,12,12,12,12,12,12,13,13,13,12.120508149097335,12.12050439225988,12.120511905934789,13,13,13
p2_b13,P2,13,0,2,30,36,36,36,85.33333333333333,80.94526997045577,89.72139669621089,17,15.631706155105194,18.368293844894808,52.3,49.194349443464326,55.40565055653567,16.033333333333335,14.58513510808347,17.4815315585832,12,12,12,12,12,12,12,12,12,13,13,13,12.1205051332403,12.120501370548006,12.120508895932595,13,13,13
p2_b13,P2,13,0,3,30,36,36,36,130.23333333333332,124.23461632618914,136.23205034047749,26.933333333333334,25.145505335400767,28.7211613312659,77,72.76487332762827,81.23512667237173,26.3,24.268861120103974,28.331138879896027,12,12,12,12,12,12,12,12,12,13,13,13,12.120503607852099,12.120500348333987,12.12050686737021,13,13,13
p2_b13,P2,13,0,4,30,36,36,36,172.96666666666667,167.2950061274568,178.63832720587655,34.166666666666664,32.279940539501624,36.053392793831705,102.83333333333333,99.00671965273577,106.65994701393089,35.96666666666667,33.456495369982456,38.47683796335088,12,12,12,12,12,12,12,12,12,13,13,13,12.12050795959135,12.120504757079695,12.120511162103005,13,13,13
p2_b13,P2,13,0,5,30,36,36,36,220.93333333333334,214.64197909552462,227.22468757114206,43.13333333333333,40.87064061678919,45.39602604987748,131.63333333333333,127.22804602595639,136.03862064071026,46.166666666666664,43.44450452173572,48.888828811597605,12,12,12,12,12,12,12,12,12,13,13,13,12.120503553132272,12.120499630164096,12.120507476100448,13,13,13
p2_b13,P2,13,0,6,30,36,36,36,262.3,254.69259570602733,269.9074042939727,50.36666666666667,47.679770421377285,53.05356291195605,157.8,153.0811918902109,162.51880810978912,54.13333333333333,50.94409180157493,57.32257486509174,12,12,12,12,12,12,12,12,12,13,13,13,12.12050574988865,12.120501744057231,12.12050975572007,13,13,13
p2_b13,P2,13,0,7,30,36,36,36,308.3,299.81560488003277,316.78439511996726,60.5,57.31905341927512,63.68094658072488,185.13333333333333,179.48879200252097,190.77787466414568,62.666666666666664,59.62395261301973,65.70938072031359,12,12,12,12,12,12,12,12,12,13,13,13,12.120503516916623,12.120499396075967,12.120507637757278,13,13,13
p2_b13,P2,13,0,8,30,36,36,36,350.2,340.8669247851784,359.53307521482157,68.33333333333333,64.56690872510049,72.09975794156617,210.3,204.52674126564617,216.07325873435386,71.56666666666666,68.31307028574267,74.82026304759066,12,12,12,12,12,12,12,12,12,13,13,13,12.120503829344322,12.120499472882695,12.12050818580595,13,13,13
p2_b13,P2,13,0,9,30,36,36,36,443.53333333333336,431.90863323601945,455.15803343064727,86.63333333333334,82.35001633170965,90.91665033495703,267.1666666666667,260.3912959666529,273.9420373666805,89.73333333333333,86.37258960976872,93.09407705689794,12,12,12,12,12,12,12,12,12,13,13,13,12.120503886695197,12.120500127731027,12.120507645659366,13,13,13
p2_b13,P2,13,0,10,30,36,36,36,534.0666666666667,522.4757462512455,545.657587082088,103.2,98.72518058156687,107.67481941843313,322.6666666666667,316.5012221900803,328.8321111432531,108.2,104.37532925615152,112.02467074384849,12,12,12,12,12,12,12,12,12,13,13,13,12.120505791095365,12.120501516303218,12.120510065887512,13,13,13
