budget,method,cases,requests_mean,requests_ci_low,requests_ci_high,planned_mean,planned_ci_low,planned_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completed_mean,completed_ci_low,completed_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,schedule_gap_mean,schedule_gap_ci_low,schedule_gap_ci_high,plan_execution_rate_mean,plan_execution_rate_ci_low,plan_execution_rate_ci_high,complete_plan_mean,complete_plan_ci_low,complete_plan_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
13,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,35.952083333333334,35.85816666666667,36.046,35.952083333333334,35.85816666666667,36.046,91.44583333333334,90.44502723306978,92.4466394335969,112.51002782383286,111.30078757352003,113.71926807414569,0,0,0,0,0,0,0,0,0,0.3326388888888892,0.3312777777777781,0.3340000000000003,0.33472222222222264,0.3320000000000004,0.3374444444444449,0.3326388888888892,0.3312777777777781,0.3340000000000003,0.9324875656818811,0.932211314373241,0.9327638169905211
13,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,36,36,36,35.99583333333333,35.99006465897918,36.00160200768748,35.99583333333333,35.99006465897918,36.00160200768748,91.40208333333334,90.40713085845599,92.39703580821069,85.60054666950897,83.8656519998137,87.33544133920425,0.004166666666666667,-0.0016020076874827763,0.00993534102081611,0.9998842592592593,0.9997240183049774,1.0000445002135412,0.9958333333333333,0.9900646589791839,1.0016020076874828,0.3332539682539686,0.333144088742461,0.3333638477654762,0.33337301587301627,0.33331807611726244,0.3334279556287701,0.33337301587301627,0.33331807611726244,0.3334279556287701,0.9323401853535557,0.9323379601322415,0.9323424105748699
13.5,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,39,39,39,39,39,39,88.39791666666666,87.40253102192736,89.39330231140596,122.73781002608503,121.49987429305328,123.97574575911678,0,0,0,0,0,0,0,0,0,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.9726331763387844,0.9726330962429572,0.9726332564346116
13.5,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,38.99166666666667,38.9835256142816,38.99980771905174,38.99166666666667,38.9835256142816,38.99980771905174,88.40625,87.41156303280441,89.40093696719559,93.73428019182401,91.93366684160517,95.53489354204285,0.008333333333333333,0.00019228094826414036,0.016474385718402526,0.9997863247863247,0.9995775798533741,0.9999950697192752,0.9916666666666667,0.9835256142815975,0.9998077190517359,0.3331871345029243,0.3330443090224845,0.3333299599833641,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.9726250758525542,0.9726220521622162,0.9726280995428922
13.75,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,39,39,39,39,39,39,88.39791666666666,87.40253102192736,89.39330231140596,122.73781002608503,121.49987429305328,123.97574575911678,0,0,0,0,0,0,0,0,0,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.3333333333333337,0.33333333333333365,0.33333333333333376,0.9549489367689866,0.9549488581294472,0.9549490154085261
13.75,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,38.989583333333336,38.98049092598569,38.99867574068098,38.989583333333336,38.98049092598569,38.99867574068098,88.40833333333333,87.41369520305355,89.40297146361311,89.28479838874136,87.403096765872,91.16650001161074,0.010416666666666666,0.001324259319019307,0.019509074014314023,0.9997329059829059,0.9994997673329662,0.9999660446328456,0.9895833333333334,0.980490925985686,0.9986757406809808,0.3332054093567255,0.3330580154851238,0.33335280322832717,0.3334247076023395,0.3333449496431496,0.3335044655615294,0.333369883040936,0.33326851955792425,0.3334712465239478,0.9549403918271421,0.9549370756200449,0.9549437080342392
14,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,38.947916666666664,38.84583333333333,39.05,38.947916666666664,38.84583333333333,39.05,88.45,87.448307720006,89.451692279994,122.54871391406454,121.27756553340747,123.8198622947216,0,0,0,0,0,0,0,0,0,0.3326388888888892,0.3312777777777781,0.3340000000000003,0.33472222222222264,0.3320000000000004,0.3374444444444449,0.3326388888888892,0.3312777777777781,0.3340000000000003,0.9380256592352689,0.9377720690191292,0.9382792494514086
14,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,38.99583333333333,38.99006465897918,39.00160200768748,38.99583333333333,38.99006465897918,39.00160200768748,88.40208333333334,87.40713085845599,89.39703580821069,93.71139385977821,91.91829993798832,95.5044877815681,0.004166666666666667,-0.0016020076874827763,0.00993534102081611,0.9998931623931624,0.9997452476661329,1.000041077120192,0.9958333333333333,0.9900646589791839,1.0016020076874828,0.33326023391812903,0.33315902910489836,0.3333614387313597,0.333369883040936,0.33331928063432065,0.3334204854475514,0.333369883040936,0.33331928063432065,0.3334204854475514,0.9378899557601703,0.937887890533142,0.9378920209871986
14.05,Greedy event,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,23,23,23,23,23,23,104.39791666666666,103.40253102192736,105.39330231140596,68.90414232093813,67.99672668918816,69.8115579526881,0,0,0,0,0,0,0,0,0,0.31132246376811623,0.3064467770597137,0.3161981504765188,0.608695652173912,0.6086956521739119,0.6086956521739121,0.0799818840579709,0.07510619734956837,0.08485757076637342,0.9996578927618377,0.9996578544036147,0.9996579311200607
14.05,Planned event,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,38.99166666666667,38.9835256142816,38.99980771905174,38.99166666666667,38.9835256142816,38.99980771905174,88.40625,87.41156303280441,89.40093696719559,93.69755673294088,91.90210867836,95.49300478752177,0.008333333333333333,0.00019228094826414036,0.016474385718402526,0.9997863247863247,0.9995775798533741,0.9999950697192752,0.9916666666666667,0.9835256142815975,0.9998077190517359,0.3331871345029243,0.3330443090224845,0.3333299599833641,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.9345507807750725,0.934547875481611,0.934553686068534
