seed,source_period,budget,method,workload_cap,requests,planned,planned_workload,dispatched,completed,final_queue,mean_wait_minutes,schedule_gap,plan_execution_rate,complete_plan,north_route_share,central_route_share,south_route_share,peak_budget_use
501,9,14,Greedy event,0,125,0,0,39,39,86,98.7746510376769,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378960157507791
501,9,14,Time plan 900,900,125,39,804.7550630558263,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
501,9,14,Time plan 930,930,125,39,804.7550630558263,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
501,9,14,Time plan 960,960,125,39,804.7550630558263,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
501,9,14.05,Greedy event,0,125,0,0,23,23,102,51.89907107722215,0,0,0,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.9996573780481485
501,9,14.05,Time plan 900,900,125,39,804.7550630558263,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
501,9,14.05,Time plan 930,930,125,39,804.7550630558263,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
501,9,14.05,Time plan 960,960,125,39,804.7550630558263,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
501,9,14.1,Greedy event,0,125,0,0,33,33,92,81.08097523962574,0,0,0,0.3939393939393939,0.42424242424242425,0.18181818181818182,0.9996724225427779
501,9,14.1,Time plan 900,900,125,41,846.325965342172,41,41,84,69.62653256128468,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
501,9,14.1,Time plan 930,930,125,41,846.325965342172,41,41,84,69.62653256128468,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
501,9,14.1,Time plan 960,960,125,41,846.325965342172,41,41,84,69.62653256128468,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
501,9,14.15,Greedy event,0,125,0,0,42,42,83,106.61251359611012,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993341685854449
501,9,14.15,Time plan 900,900,125,42,866.6592986755053,42,42,83,75.47158617831377,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
501,9,14.15,Time plan 930,930,125,42,866.6592986755053,42,42,83,75.47158617831377,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
501,9,14.15,Time plan 960,960,125,42,866.6592986755053,42,42,83,75.47158617831377,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
501,9,16,Greedy event,0,125,0,0,44,44,81,111.77286902514567,0,0,0,0.3409090909090909,0.3409090909090909,0.3181818181818182,0.9465994815954583
501,9,16,Time plan 900,900,125,43,886.9926320088385,43,43,82,79.65272577996222,0,1,1,0.3488372093023256,0.3488372093023256,0.3023255813953488,0.9462823214958717
501,9,16,Time plan 930,930,125,45,928.5635342951841,45,45,80,82.17910756771587,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469096301741482
501,9,16,Time plan 960,960,125,45,928.5635342951841,45,45,80,82.17910756771587,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469096301741482
