setting,factor,level,demand,policy,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_mean_wait_mean,delta_mean_wait_ci_low,delta_mean_wait_ci_high,delta_peak_lae_db_mean,delta_peak_lae_db_ci_low,delta_peak_lae_db_ci_high,delta_peak_budget_utilization_mean,delta_peak_budget_utilization_ci_low,delta_peak_budget_utilization_ci_high,delta_population_weighted_equivalent_mean,delta_population_weighted_equivalent_ci_low,delta_population_weighted_equivalent_ci_high
budget_10,budget,10 missions,45,P0,30,0,0,0,0,0,0,0,0,0,0,0,0,2.3000219027884294,2.3000214723377583,2.3000223332391005,0,0,0
budget_10,budget,10 missions,45,P1,30,0,0,0,0,0,0,0,0,0,0,0,0,2.0251613687651435,2.0059440642275908,2.0443786733026963,0,0,0
budget_10,budget,10 missions,45,P2,30,-0.28481890571802865,-0.28789443266394316,-0.28174337877211414,433.6,428.4685968937258,438.73140310627423,1397.4016083634424,1358.8606223616039,1435.942594365281,-3.204976821431161,-3.2425787062229157,-3.1673749366394066,-0.04167538708393477,-0.04993350964827024,-0.0334172645195993,-202.82177368285338,-203.50930929838827,-202.13423806731848
budget_10,budget,10 missions,45,P3-U,30,-0.03766328217338121,-0.04046992944609377,-0.034856634900668655,57.4,53.1145015016558,61.685498498344195,380.85828447765573,352.6570541388228,409.0595148164887,0.37292779901736706,0.25904230433035474,0.48681329370437937,0.000028772582088039863,-0.000002015423860608948,0.00005956058803668867,-18.028274795859875,-18.615803111741897,-17.440746479977854
budget_10,budget,10 missions,45,P3-D,30,0.06465513703734142,0.06416294502104442,0.06514732905363843,-98.4,-98.57830465984976,-98.22169534015025,498.79613819931376,476.7369659367111,520.8553104619165,-1.3468559367907866,-1.3821595236013327,-1.3115523499802406,0.000007418186212641379,-0.000008471914827329827,0.000023308287252612584,-6.826542789064848,-6.851008266760331,-6.802077311369365
budget_10,budget,10 missions,80,P0,30,0,0,0,0,0,0,0,0,0,0,0,0,2.300022866872652,2.300022176056284,2.3000235576890202,0,0,0
budget_10,budget,10 missions,80,P1,30,0,0,0,0,0,0,0,0,0,0,0,0,1.9968454251475467,1.9758832157194413,2.017807634575652,0,0,0
budget_10,budget,10 missions,80,P2,30,-0.17059231392712246,-0.17199031959592045,-0.16919430825832446,456.46666666666664,453.92459457614484,459.00873875718844,1050.1638592073657,1031.9828835069554,1068.344834907776,-3.149753197944411,-3.2100503558914806,-3.0894560399973416,-0.029547182621517787,-0.042789639645752886,-0.016304725597282688,-205.8771113926584,-206.1408611619837,-205.6133616233331
budget_10,budget,10 missions,80,P3-U,30,-0.023399258218629336,-0.023676500117082652,-0.02312201632017602,62.6,62.124520907067314,63.07547909293269,378.085401275852,375.50771970297166,380.66308284873236,0.30772142580943296,0.23343325236642878,0.38200959925243716,0.00006446774411677329,0.0000324734543288872,0.00009646203390465938,-18.74116988786725,-18.806349084637723,-18.67599069109678
budget_10,budget,10 missions,80,P3-D,30,0.03675097829110309,0.03648988153895976,0.03701207504324642,-98.33333333333333,-98.50490707227003,-98.16175959439663,695.1318482800756,690.9059695728868,699.3577269872644,-1.3135418503205936,-1.313696278923233,-1.3133874217179542,-0.000010657894904630983,-0.00002075977021894403,-5.560195903179367e-7,-6.8356380930451435,-6.859211872724287,-6.812064313366
budget_30,budget,30 missions,45,P0,30,0,0,0,0,0,0,0,0,0,0,0,0,-0.7666739675961431,-0.7666741110797002,-0.7666738241125861,0,0,0
budget_30,budget,30 missions,45,P1,30,0,0,0,0,0,0,0,0,0,0,0,0,-0.6750537895883809,-0.6814595577675652,-0.6686480214091967,0,0,0
