setting,factor,level,demand,seed,policy,requests,dispatched,completion_rate,final_queue,peak_queue,mean_wait,peak_lae_db,peak_budget_utilization,population_weighted_equivalent,route_1_share,route_2_share,route_3_share,budget_reference_missions,source_adjustment_db,validation_adjustment_db,altitude_m,speed_mps,route_weight_km
reference,reference,reference,45,501,P0,1547,1092,0.7058823529411765,455,455,1119.6746476384355,79.92322604967377,2.300020788066046,802.2555499193496,0,1,0,20,0,0,80,15,0.35
reference,reference,reference,45,501,P1,1547,1062,0.6864899806076277,485,485,1199.3531207973365,79.42372966262707,2.050130549318642,145.5979823937223,0.7862523540489642,0,0.2137476459510358,20,0,0,80,15,0.35
reference,reference,reference,45,501,P2,1547,1092,0.7058823529411765,455,455,1123.7081764433756,76.11405929749984,0.9567790819291998,422.2022699581162,0.40476190476190477,0.4175824175824176,0.17765567765567766,20,0,0,80,15,0.35
reference,reference,reference,45,501,P3-U,1547,1028,0.6645119586296057,519,519,1289.195683573057,76.11405633020824,0.9999738092181782,345.30600414422315,0.3336575875486381,0.3326848249027237,0.3336575875486381,20,0,0,80,15,0.35
reference,reference,reference,45,501,P3-D,1547,751,0.4854557207498384,796,796,1030.378768648805,76.11405633020824,0.9998596138052511,314.50020830364844,0.3022636484687084,0.47137150466045274,0.22636484687083888,20,0,0,80,15,0.35
reference,reference,reference,45,502,P0,1485,1088,0.7326599326599327,397,397,960.1162571760914,79.92322582751595,2.300019884237088,799.3168062608191,0,1,0,20,0,0,80,15,0.35
reference,reference,reference,45,502,P1,1485,1060,0.7138047138047138,425,425,1039.0841461137486,79.31657734299958,2.000170450444503,145.32385788744494,0.8169811320754717,0,0.1830188679245283,20,0,0,80,15,0.35
reference,reference,reference,45,502,P2,1485,1087,0.731986531986532,398,398,970.8125954620551,76.1140604160725,0.9567793283580881,421.5171187776408,0.41674333026678934,0.41950321987120515,0.16375344986200552,20,0,0,80,15,0.35
reference,reference,reference,45,502,P3-U,1485,1027,0.6915824915824916,458,458,1104.8263493470483,76.5320890097644,0.9999318399334743,345.1694221777488,0.3339824732229795,0.3330087633885102,0.3330087633885102,20,0,0,80,15,0.35
reference,reference,reference,45,502,P3-D,1485,752,0.5063973063973064,733,733,887.9531195457428,76.11405586897123,0.9999685424804177,314.6375240764868,0.3071808510638298,0.47074468085106386,0.2220744680851064,20,0,0,80,15,0.35
