setting,factor,level,demand,policy,runs,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,peak_queue_mean,peak_queue_ci_low,peak_queue_ci_high,mean_wait_mean,mean_wait_ci_low,mean_wait_ci_high,peak_lae_db_mean,peak_lae_db_ci_low,peak_lae_db_ci_high,peak_budget_utilization_mean,peak_budget_utilization_ci_low,peak_budget_utilization_ci_high,population_weighted_equivalent_mean,population_weighted_equivalent_ci_low,population_weighted_equivalent_ci_high,route_1_share_mean,route_1_share_ci_low,route_1_share_ci_high,route_2_share_mean,route_2_share_ci_low,route_2_share_ci_high,route_3_share_mean,route_3_share_ci_low,route_3_share_ci_high
reference,reference,reference,45,P0,30,1522.6,1510.4792169594023,1534.7207830405976,1082.4333333333334,1077.4662661829288,1087.400400483738,0.7111663941437382,0.706040144284621,0.7162926440028553,440.1666666666667,429.25988588711584,451.07344744621753,440.1666666666667,429.25988588711584,451.07344744621753,1055.3615446085862,1029.3655727143296,1081.3575165028428,79.92322632366836,79.92322621786519,79.92322642947153,2.3000219027884294,2.3000214723377583,2.3000223332391005,795.2272898683666,791.5781476549183,798.8764320818149,0,0,0,1,1,1,0,0,0
reference,reference,reference,45,P1,30,1522.6,1510.4792169594023,1534.7207830405976,1054.2,1050.134679823442,1058.2653201765581,0.6926402075617109,0.6875107729364932,0.6977696421869285,468.4,457.1710525810327,479.62894741896724,468.4,457.1710525810327,479.62894741896724,1130.554829367324,1100.4489010169307,1160.6607577177172,79.36903057011152,79.32765609221192,79.41040504801111,2.0251613687651435,2.0059440642275908,2.0443786733026963,144.52853822241016,143.97119998833827,145.08587645648205,0.8025191238908493,0.7982111752747614,0.8068270725069373,0,0,0,0.19748087610915074,0.19317292749306275,0.20178882472523874
reference,reference,reference,45,P2,30,1522.6,1510.4792169594023,1534.7207830405976,1080.4666666666667,1075.6201412912499,1085.3131920420835,0.7098773754809252,0.704748916702743,0.7150058342591075,442.1333333333333,431.1951609699382,453.0715056967285,442.1333333333333,431.1951609699382,453.0715056967285,1065.3102467559734,1039.0995079574602,1091.5209855544865,76.11405999197136,76.11405944574432,76.1140605381984,0.9567792349258825,0.9567791145884299,0.956779355263335,420.6212501260365,419.95679321466343,421.28570703740957,0.4118466324931587,0.4103548224560486,0.41333844253026886,0.4221050616179226,0.4201791727419893,0.4240309504938559,0.16604830588891864,0.1639320415706934,0.16816457020714387
reference,reference,reference,45,P3-U,30,1522.6,1510.4792169594023,1534.7207830405976,1022.8666666666667,1018.7203289186888,1027.0130044146447,0.6720608589526464,0.6668708203594009,0.677250897545892,499.73333333333335,488.21348867707974,511.25317798958696,499.73333333333335,488.21348867707974,511.25317798958696,1198.5540293497866,1164.132847499678,1232.975211199895,76.46388157167071,76.35917241309988,76.56859073024154,0.9999092913229648,0.9998851705915303,0.9999334120543993,344.6025408291065,344.03408055995146,345.1710010982615,0.33520412788813353,0.3340279221022406,0.3363803336740265,0.33439708154097025,0.33300302068198573,0.3357911423999548,0.3303987905708963,0.3278441601034388,0.33295342103835374
reference,reference,reference,45,P3-D,30,1522.6,1510.4792169594023,1534.7207830405976,751.6,751.4216953401502,751.7783046598498,0.4938712944291603,0.4898418387962484,0.4979007500620722,771,758.8154858411442,783.1845141588558,771,758.8154858411442,783.1845141588558,925.6983305756415,895.1914686235261,956.2051925277569,76.14718033487902,76.11187682495179,76.18248384480626,0.9999476332804363,0.9999319040192856,0.9999633625415871,314.5825561592679,314.55811043540587,314.6070018831299,0.30619068192764254,0.30397017488624284,0.30841118896904224,0.4709954103748197,0.47088364476870087,0.4711071759809385,0.22281390769753803,0.220606210724953,0.22502160467012305
reference,reference,reference,80,P0,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1103.2,1102.7968929864567,1103.6031070135434,0.41229896804455374,0.40964525550164715,0.4149526805874603,1573.3666666666666,1556.073135939942,1590.6601973933912,1573.3666666666666,1556.073135939942,1590.6601973933912,2648.3273239238706,2615.070868884355,2681.583778963386,79.92322656063666,79.92322639083659,79.92322673043674,2.300022866872652,2.300022176056284,2.3000235576890202,810.4838480396191,810.187710915245,810.7799851639933,0,0,0,1,1,1,0,0,0
reference,reference,reference,80,P1,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1068.2333333333333,1067.6413417728675,1068.8253248937992,0.3992308850647583,0.39665460171677575,0.40180716841274083,1608.3333333333333,1591.0372877462578,1625.6293789204087,1608.3333333333333,1591.0372877462578,1625.6293789204087,2727.4973386637953,2694.0643224194,2760.9303549081906,79.30759392831322,79.26269021012749,79.35249764649896,1.9968454251475467,1.9758832157194413,2.017807634575652,146.45249254511185,146.3713539329123,146.5336311573114,0.7988650283002067,0.7952378390830114,0.802492217517402,0,0,0,0.20113497169979336,0.19750778248259807,0.20476216091698865
reference,reference,reference,80,P2,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1101.0666666666666,1100.569991066963,1101.5633422663702,0.4115014595995195,0.4088553874054842,0.4141475317935548,1575.5,1558.2153401610815,1592.7846598389185,1575.5,1558.2153401610815,1592.7846598389185,2660.8308165716667,2627.575518920735,2694.0861142225986,76.11405945041517,76.11405904847486,76.11405985235548,0.9567791156174781,0.9567790270673998,0.9567792041675564,423.4454474216337,423.37736835916945,423.5135264840979,0.4109657569209284,0.41004871401696313,0.4118827998248937,0.4141444976108028,0.41395739871476145,0.41433159650684415,0.1748897454682687,0.17391740720409526,0.1758620837324421
reference,reference,reference,80,P3-U,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1027.8666666666666,1027.5734813330519,1028.1598520002813,0.38414586108804943,0.3816490046659796,0.38664271751011925,1648.7,1631.3448731719302,1666.05512682807,1648.7,1631.3448731719302,1666.05512682807,2781.1035295182796,2748.2640155469476,2813.9430434896117,76.52296079198844,76.46997958636105,76.57594199761583,0.9998791700606117,0.9998530637068972,0.9999052764143261,345.28796469574434,345.24776392166876,345.3281654698199,0.3337010740276268,0.33360590852464234,0.3337962395306112,0.3327281845989748,0.33263329654643636,0.33282307265151323,0.3335707413733985,0.33338068781787566,0.3337607949289213
reference,reference,reference,80,P3-D,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,751.6666666666666,751.49509292773,751.8382404056033,0.28091948439228265,0.27913088279138754,0.28270808599317776,1924.9,1907.667380159282,1942.1326198407182,1924.9,1907.667380159282,1942.1326198407182,2176.8720640037195,2145.638764952559,2208.10536305488,76.11386637616543,76.11371214027562,76.11402061205524,0.9999654989093275,0.9999553892402765,0.9999756085783785,314.5916464199952,314.56809614840654,314.61519669158383,0.30070904278928334,0.29983681622636715,0.30158126935219953,0.47095362212086034,0.47084607561622893,0.47106116862549174,0.2283373350898566,0.2274941374733521,0.2291805327063611
